産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.62,1.56,1.27,1.37
"鉱業,採石業,砂利採取業",2.12,2.19,2.12,2.19
建設業,0.63,0.64,0.34,0.46
製造業,0.82,1.15,0.85,1.26
電気・ガス・熱供給・水道業,1.64,2.28,1.81,2.14
情報通信業,0.99,1.5,0.97,1.53
"運輸業,郵便業",1.16,1.3,1.26,1.24
"卸売業,小売業",1.31,1.45,0.78,0.95
"金融業,保険業",0.74,0.99,0.71,0.99
"不動産業,物品賃貸業",1.08,1.39,0.77,0.89
"学術研究,専門・技術サービス業",1.17,0.66,0.99,0.72
"宿泊業,飲食サービス業",4.69,3.51,3.22,3.36
"生活関連サービス業,娯楽業",2.67,1.89,2.95,1.87
"教育,学習支援業",1.37,1.24,1.31,1.1
"医療,福祉",1.51,1.13,1.08,0.91
複合サービス事業,1.49,1.35,1.76,1.42
サービス業（他に分類されないもの）,2.09,2.09,2.25,2.28
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１２月分,,,,
第４表  規模、産業別労働異動率,,,,
