規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.1,159.7,144.4,15.3,14.4,99,93.9,5.1
100～499人,19.1,161,145.7,15.3,14.2,87.4,84,3.4
100人以上,19.1,160.4,145.1,15.3,14.3,92.6,88.5,4.1
30～99人,20,168.8,153,15.8,13.4,78.4,76.3,2.1
５～29人,20.3,168.2,156.1,12.1,12.6,76.8,73.9,2.9
30人以上,19.4,162.8,147.4,15.4,13.9,86.1,82.9,3.2
５人以上,19.6,164.1,149.5,14.6,13.3,81.6,78.6,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年３月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
