規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.9,150.4,136,14.4,13.8,93.8,89.4,4.4
100～499人,18.3,153.6,139.4,14.2,13.9,84.1,80.9,3.2
100人以上,18.1,152,137.7,14.3,13.9,88.3,84.6,3.7
30～99人,19.4,163.3,148.6,14.7,13.2,76,74.1,1.9
５～29人,19.9,165.3,153.8,11.5,12.3,73.2,70.7,2.5
30人以上,18.5,155.2,140.8,14.4,13.6,82.5,79.6,2.9
５人以上,18.8,157.6,143.9,13.7,13,78.1,75.4,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
