事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成25,2013,年平均,19.4,163.4,147.5,15.9,14.7,88.9,85.3,3.6
30人以上,TL 調査産業計,平成26,2014,年平均,19.4,163,146.8,16.2,14.5,87.8,84.3,3.5
30人以上,TL 調査産業計,平成27,2015,年平均,19.2,162.2,146.3,15.9,14.1,84.7,81.6,3.1
30人以上,TL 調査産業計,平成28,2016,年平均,19.3,161.3,146.2,15.1,14.2,85.6,82.7,2.9
30人以上,TL 調査産業計,平成29,2017,年平均,19.3,161.7,146.9,14.8,14.1,84.7,82.1,2.6
30人以上,TL 調査産業計,平成30,2018,年平均,19.3,161.2,146.7,14.5,14.1,87.4,84.2,3.2
30人以上,TL 調査産業計,平成30,2018,1月,18,151.1,137.5,13.6,13.6,82.3,79.3,3
30人以上,TL 調査産業計,平成30,2018,2月,18.5,155.2,140.8,14.4,13.6,82.5,79.6,2.9
30人以上,TL 調査産業計,平成30,2018,3月,19.4,162.8,147.4,15.4,13.9,86.1,82.9,3.2
30人以上,TL 調査産業計,平成30,2018,4月,19.6,164.8,149.5,15.3,14.2,87.9,84.7,3.2
30人以上,TL 調査産業計,平成30,2018,5月,19.3,161.3,146.6,14.7,14.3,88.5,85.3,3.2
30人以上,TL 調査産業計,平成30,2018,6月,20,167.1,152.3,14.8,14.7,90.4,87.2,3.2
30人以上,TL 調査産業計,平成30,2018,7月,19.9,166,151.7,14.3,14.6,90.5,87.2,3.3
30人以上,TL 調査産業計,平成30,2018,8月,19.5,162,148.5,13.5,14.2,89.3,86,3.3
30人以上,TL 調査産業計,平成30,2018,9月,18.4,153.5,139.9,13.6,13.9,86.7,83.5,3.2
30人以上,TL 調査産業計,平成30,2018,10月,19.7,164.1,149.3,14.8,14.4,89.7,86.3,3.4
30人以上,TL 調査産業計,平成30,2018,11月,20.3,169.2,153.8,15.4,14.3,88.6,85.3,3.3
30人以上,TL 調査産業計,平成30,2018,12月,18.9,157.6,143.1,14.5,14,87.5,83.8,3.7
30人以上,"C 鉱業,採石業,砂利採取業",平成25,2013,年平均,19.2,157.1,139.9,17.2,16.6,115.4,109.7,5.7
30人以上,"C 鉱業,採石業,砂利採取業",平成26,2014,年平均,19.1,157.9,139,18.9,16.2,115.6,108.2,7.4
30人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,154.8,135.1,19.7,12.1,82.9,82.5,0.4
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,1月,17.3,144.4,125.5,18.9,10.7,68.7,67.7,1
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,2月,17.4,147,127,20,10.7,68.7,67.7,1
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,3月,19.1,160.7,138.3,22.4,11.7,78.3,78.3,0
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,4月,19.4,163.6,142.3,21.3,11.7,75.3,75.3,0
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,5月,19.1,158.8,138.9,19.9,9.7,74.3,74.3,0
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,6月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,7月,19.6,161.3,142.6,18.7,40,298,298,0
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,8月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,9月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,10月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,11月,19.2,157.9,138.3,19.6,－,－,－,－
30人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,12月,17.4,143.7,126.1,17.6,－,－,－,－
30人以上,D 建設業,平成25,2013,年平均,20.5,178.3,154.4,23.9,14.9,116.3,114,2.3
30人以上,D 建設業,平成26,2014,年平均,20.5,177.5,153.1,24.4,16.4,118.9,116.4,2.5
30人以上,D 建設業,平成27,2015,年平均,20.1,176.8,154.1,22.7,14.7,100.8,96.7,4.1
30人以上,D 建設業,平成28,2016,年平均,20.4,178.7,158,20.7,14.8,101.7,97.4,4.3
30人以上,D 建設業,平成29,2017,年平均,20.3,180.4,156.6,23.8,15.1,99.8,96.5,3.3
30人以上,D 建設業,平成30,2018,年平均,20.6,182.8,156.7,26.1,10.3,63.6,62.2,1.4
30人以上,D 建設業,平成30,2018,1月,18.7,164.4,141.4,23,7.7,46.7,45.6,1.1
30人以上,D 建設業,平成30,2018,2月,20,178.6,152.3,26.3,9,53.7,52.5,1.2
30人以上,D 建設業,平成30,2018,3月,21.2,187.5,160.4,27.1,8.4,50.3,49.5,0.8
30人以上,D 建設業,平成30,2018,4月,20.8,184.1,158.6,25.5,9.9,59.1,58.4,0.7
30人以上,D 建設業,平成30,2018,5月,20,176.4,151.5,24.9,11.5,70.8,68.1,2.7
30人以上,D 建設業,平成30,2018,6月,21.6,192.8,164.6,28.2,12.6,74.5,72.1,2.4
30人以上,D 建設業,平成30,2018,7月,21.7,190.6,165.4,25.2,11.8,76.1,74.1,2
30人以上,D 建設業,平成30,2018,8月,19.9,176.9,153.1,23.8,11.1,72.1,71.3,0.8
30人以上,D 建設業,平成30,2018,9月,20,180.9,152,28.9,10.7,72,70.8,1.2
30人以上,D 建設業,平成30,2018,10月,21.3,188.7,161.9,26.8,10.5,65.2,63.7,1.5
30人以上,D 建設業,平成30,2018,11月,21.8,194.5,166.2,28.3,11.9,74.5,73,1.5
30人以上,D 建設業,平成30,2018,12月,20.7,178.8,153.3,25.5,10.9,67,65.7,1.3
30人以上,E 製造業,平成25,2013,年平均,18.9,159.9,145.5,14.4,17.3,128.4,116.7,11.7
30人以上,E 製造業,平成26,2014,年平均,18.9,159,145.1,13.9,17.2,127.7,116.3,11.4
30人以上,E 製造業,平成27,2015,年平均,18.9,160.2,146.5,13.7,15.7,107.9,103.4,4.5
30人以上,E 製造業,平成28,2016,年平均,18.9,159.6,146.4,13.2,15.7,107.6,103,4.6
30人以上,E 製造業,平成29,2017,年平均,19.1,160.8,147.4,13.4,15.4,105.2,101.5,3.7
30人以上,E 製造業,平成30,2018,年平均,19,162.5,147.3,15.2,16,113,107.9,5.1
30人以上,E 製造業,平成30,2018,1月,17.4,148.8,134.9,13.9,15.6,111.5,107,4.5
30人以上,E 製造業,平成30,2018,2月,18.6,160,144.2,15.8,16.1,112.6,108.2,4.4
30人以上,E 製造業,平成30,2018,3月,19.1,165.8,149.2,16.6,16.6,119.8,112.8,7
30人以上,E 製造業,平成30,2018,4月,19.4,168,151.7,16.3,14.1,98.7,93.6,5.1
30人以上,E 製造業,平成30,2018,5月,18.7,158.9,144.3,14.6,15.6,110.3,105.8,4.5
30人以上,E 製造業,平成30,2018,6月,19.8,167.7,152.7,15,16.7,118.8,112.7,6.1
30人以上,E 製造業,平成30,2018,7月,19.8,168.6,153.5,15.1,16.9,121.8,114.3,7.5
30人以上,E 製造業,平成30,2018,8月,18.7,159.9,145.5,14.4,15.9,112.1,107.4,4.7
30人以上,E 製造業,平成30,2018,9月,18.1,154.2,140.8,13.4,15.9,112.5,108.3,4.2
30人以上,E 製造業,平成30,2018,10月,19,162.4,147.7,14.7,16,113.4,108.9,4.5
30人以上,E 製造業,平成30,2018,11月,20.2,173.8,157,16.8,16.6,116.6,112.4,4.2
30人以上,E 製造業,平成30,2018,12月,18.9,162.1,146.5,15.6,15.8,110,105.2,4.8
30人以上,F 電気・ガス・熱供給・水道業,平成25,2013,年平均,18.6,161.3,140.4,20.9,16.3,123.2,122.4,0.8
30人以上,F 電気・ガス・熱供給・水道業,平成26,2014,年平均,18.8,165.1,142.1,23,17.3,131.5,130.8,0.7
30人以上,F 電気・ガス・熱供給・水道業,平成27,2015,年平均,18.5,161.6,145.2,16.4,14.4,120.3,119.7,0.6
30人以上,F 電気・ガス・熱供給・水道業,平成28,2016,年平均,18.6,165.2,146.7,18.5,14.9,127.4,126.6,0.8
30人以上,F 電気・ガス・熱供給・水道業,平成29,2017,年平均,18.7,163.2,148.8,14.4,15.9,138.4,136.2,2.2
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,年平均,18.5,159.4,143.2,16.2,15.9,104.2,103.3,0.9
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,1月,17,148.6,133.9,14.7,15.3,96.7,96,0.7
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,2月,17.4,151.7,136.2,15.5,15,95.7,94.9,0.8
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,3月,19.3,165.4,147.5,17.9,17.3,112.4,111.4,1
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,4月,19,161.3,147.8,13.5,19.2,137.5,135.5,2
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,5月,18.7,169.9,146.5,23.4,18.8,121.2,119.8,1.4
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,6月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,7月,18.6,162.3,146.8,15.5,16.6,111,110.4,0.6
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,8月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,9月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,10月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,11月,19.2,159.7,144.8,14.9,15,96.6,95.8,0.8
30人以上,F 電気・ガス・熱供給・水道業,平成30,2018,12月,17.3,144.6,129.2,15.4,14,91.8,90.8,1
30人以上,G 情報通信業,平成25,2013,年平均,19.2,167.2,146.1,21.1,13,93.2,86.4,6.8
30人以上,G 情報通信業,平成26,2014,年平均,19.1,165.8,144.6,21.2,13.3,94.8,87.3,7.5
30人以上,G 情報通信業,平成27,2015,年平均,19,165.3,144.6,20.7,13.7,95,91.2,3.8
30人以上,G 情報通信業,平成28,2016,年平均,18.9,164.3,144.4,19.9,12.8,83.2,80.6,2.6
30人以上,G 情報通信業,平成29,2017,年平均,19,163.5,145.6,17.9,13.2,85,82.9,2.1
30人以上,G 情報通信業,平成30,2018,年平均,18.9,159.9,144.6,15.3,12.6,83.5,80.9,2.6
30人以上,G 情報通信業,平成30,2018,1月,17.7,150.2,135.8,14.4,12,82.5,80.1,2.4
30人以上,G 情報通信業,平成30,2018,2月,18.1,154.7,138.8,15.9,12.4,83.2,80.3,2.9
30人以上,G 情報通信業,平成30,2018,3月,19,162.8,146.1,16.7,12.7,84.3,80.7,3.6
30人以上,G 情報通信業,平成30,2018,4月,19.4,165.3,149,16.3,13,90.9,86.9,4
30人以上,G 情報通信業,平成30,2018,5月,18.8,157,142.4,14.6,12.8,83.8,80.6,3.2
30人以上,G 情報通信業,平成30,2018,6月,19.5,163.5,147.8,15.7,13.3,86.9,84.1,2.8
30人以上,G 情報通信業,平成30,2018,7月,19.7,165.9,150.6,15.3,13.1,83.8,81.6,2.2
30人以上,G 情報通信業,平成30,2018,8月,19.4,161.7,147.6,14.1,12.5,83.9,81.8,2.1
30人以上,G 情報通信業,平成30,2018,9月,18,151.5,136.6,14.9,11.7,77.9,75.9,2
30人以上,G 情報通信業,平成30,2018,10月,19.1,161.2,145.9,15.3,12.7,83,80.6,2.4
30人以上,G 情報通信業,平成30,2018,11月,20,167.6,151.9,15.7,12.8,81.5,79.8,1.7
30人以上,G 情報通信業,平成30,2018,12月,18.7,157.2,142.2,15,12.4,80.1,77.9,2.2
30人以上,"H 運輸業,郵便業",平成25,2013,年平均,19.4,176.6,155.5,21.1,17.4,113.5,102.2,11.3
30人以上,"H 運輸業,郵便業",平成26,2014,年平均,19.4,177.3,154.6,22.7,16.8,105.7,95.5,10.2
30人以上,"H 運輸業,郵便業",平成27,2015,年平均,19.4,173.2,152.4,20.8,15.1,110.9,99.3,11.6
30人以上,"H 運輸業,郵便業",平成28,2016,年平均,19.3,171.4,152,19.4,15.5,114.4,102.4,12
30人以上,"H 運輸業,郵便業",平成29,2017,年平均,19.6,169.5,151,18.5,16.3,122.5,109,13.5
30人以上,"H 運輸業,郵便業",平成30,2018,年平均,19.6,166.8,147.2,19.6,14.8,104.2,94.5,9.7
30人以上,"H 運輸業,郵便業",平成30,2018,1月,18.8,161.5,142.1,19.4,14.2,101.7,90.7,11
30人以上,"H 運輸業,郵便業",平成30,2018,2月,19,162.1,142.9,19.2,15.2,105.8,95,10.8
30人以上,"H 運輸業,郵便業",平成30,2018,3月,19.3,165.7,145,20.7,14.8,100.4,91.4,9
30人以上,"H 運輸業,郵便業",平成30,2018,4月,20.1,171.2,150.6,20.6,14.4,99.6,90.6,9
30人以上,"H 運輸業,郵便業",平成30,2018,5月,19.6,167,146.5,20.5,14.7,104.4,94.8,9.6
30人以上,"H 運輸業,郵便業",平成30,2018,6月,20.1,171.2,151.8,19.4,15.3,107.8,98,9.8
30人以上,"H 運輸業,郵便業",平成30,2018,7月,19.8,167.1,148.9,18.2,14.7,103.6,94.5,9.1
30人以上,"H 運輸業,郵便業",平成30,2018,8月,20,168.9,150,18.9,14.5,103.1,94.1,9
30人以上,"H 運輸業,郵便業",平成30,2018,9月,19.1,162.8,144.2,18.6,14.5,105.2,95.5,9.7
30人以上,"H 運輸業,郵便業",平成30,2018,10月,19.4,164.6,145.2,19.4,14.7,105.6,96.1,9.5
30人以上,"H 運輸業,郵便業",平成30,2018,11月,20.3,173.5,152.7,20.8,15.3,107.5,98.1,9.4
30人以上,"H 運輸業,郵便業",平成30,2018,12月,19.5,166.5,146.5,20,15,107.7,96.8,10.9
30人以上,"I 卸売業,小売業",平成25,2013,年平均,19.8,161.6,151.1,10.5,16.8,99.4,97.2,2.2
30人以上,"I 卸売業,小売業",平成26,2014,年平均,19.8,162.1,151.1,11,16.5,97.9,95.6,2.3
30人以上,"I 卸売業,小売業",平成27,2015,年平均,19.4,161.8,149.4,12.4,16.2,99.2,96.1,3.1
30人以上,"I 卸売業,小売業",平成28,2016,年平均,19.4,158.1,146.9,11.2,16.1,98.9,95.6,3.3
30人以上,"I 卸売業,小売業",平成29,2017,年平均,19.4,160.5,149.8,10.7,15.8,98.1,95,3.1
30人以上,"I 卸売業,小売業",平成30,2018,年平均,19.3,158.9,148.3,10.6,16,97.6,94.6,3
30人以上,"I 卸売業,小売業",平成30,2018,1月,18.2,150.1,140,10.1,16.2,98.4,95.8,2.6
30人以上,"I 卸売業,小売業",平成30,2018,2月,18.6,153.2,142.5,10.7,15.7,94.5,92.2,2.3
30人以上,"I 卸売業,小売業",平成30,2018,3月,19.3,159,148.3,10.7,15.5,94.8,92.4,2.4
30人以上,"I 卸売業,小売業",平成30,2018,4月,19.5,161.6,150.5,11.1,16.2,96.9,94.4,2.5
30人以上,"I 卸売業,小売業",平成30,2018,5月,19.3,159.2,148.5,10.7,16.2,99.1,96.4,2.7
30人以上,"I 卸売業,小売業",平成30,2018,6月,20,164.2,153.8,10.4,16.4,99.1,96.7,2.4
30人以上,"I 卸売業,小売業",平成30,2018,7月,20.1,165.3,154.8,10.5,16.2,98.4,95.5,2.9
30人以上,"I 卸売業,小売業",平成30,2018,8月,19.6,160.8,150.8,10,16,98.5,94.9,3.6
30人以上,"I 卸売業,小売業",平成30,2018,9月,18.3,151,141.1,9.9,15.9,97.5,94.1,3.4
30人以上,"I 卸売業,小売業",平成30,2018,10月,19.5,160.1,149,11.1,16,98.2,94.7,3.5
30人以上,"I 卸売業,小売業",平成30,2018,11月,20.3,166.4,155.2,11.2,16,97.8,94.2,3.6
30人以上,"I 卸売業,小売業",平成30,2018,12月,18.8,155.2,144.3,10.9,15.8,97.5,93.8,3.7
30人以上,"J 金融業,保険業",平成25,2013,年平均,19.2,160.2,141.4,18.8,16.1,106,101.2,4.8
30人以上,"J 金融業,保険業",平成26,2014,年平均,19.1,160.2,140.8,19.4,15.9,104.1,99.5,4.6
30人以上,"J 金融業,保険業",平成27,2015,年平均,18.7,159.2,137.6,21.6,14.7,93.7,91.8,1.9
30人以上,"J 金融業,保険業",平成28,2016,年平均,18.6,158.7,137.8,20.9,14.5,90.9,89.8,1.1
30人以上,"J 金融業,保険業",平成29,2017,年平均,18.8,158.6,138.5,20.1,14.9,94.8,93.9,0.9
30人以上,"J 金融業,保険業",平成30,2018,年平均,19,156.9,138.9,18,15.3,100,98.2,1.8
30人以上,"J 金融業,保険業",平成30,2018,1月,17.6,146.3,130,16.3,14.2,90.5,89.3,1.2
30人以上,"J 金融業,保険業",平成30,2018,2月,17.5,145.1,129.1,16,14.4,92.8,91.5,1.3
30人以上,"J 金融業,保険業",平成30,2018,3月,18.9,157,138.7,18.3,15.6,102.5,100.5,2
30人以上,"J 金融業,保険業",平成30,2018,4月,19.3,159.6,140.6,19,15.1,99.3,97.2,2.1
30人以上,"J 金融業,保険業",平成30,2018,5月,19.6,162.6,143.4,19.2,15.6,103,100.9,2.1
30人以上,"J 金融業,保険業",平成30,2018,6月,19.9,164.8,145.8,19,16,105.2,103.1,2.1
30人以上,"J 金融業,保険業",平成30,2018,7月,19.7,162.4,143.9,18.5,15.8,103.3,101.5,1.8
30人以上,"J 金融業,保険業",平成30,2018,8月,20.1,164.2,146.7,17.5,16.1,104.8,103,1.8
30人以上,"J 金融業,保険業",平成30,2018,9月,17.5,144.7,128.1,16.6,14.5,93.7,92.2,1.5
