規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,512660,467984,431344,36640,44676,164365,163345,153602,9743,1020
100～499人,429881,412373,384612,27761,17508,129959,127793,120778,7015,2166
100人以上,471762,440509,408256,32253,31253,145987,144355,136069,8286,1632
30～99人,400627,385290,360122,25168,15337,102740,102112,99039,3073,628
５～29人,371494,360554,342977,17577,10940,92220,91825,89165,2660,395
30人以上,451567,424832,394590,30242,26735,126167,124995,119098,5897,1172
５人以上,431858,409011,381886,27125,22847,110257,109449,105069,4380,808
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１０月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
