規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.9,149.3,135.1,14.2,13,84.6,81.4,3.2
100～499人,18,151.7,137.6,14.1,13.7,84.9,81.8,3.1
100人以上,17.9,150.5,136.4,14.1,13.4,84.8,81.6,3.2
30～99人,18.1,149.5,137.2,12.3,13,74.1,71.7,2.4
５～29人,18.4,153,141.7,11.3,12.1,73.3,70.7,2.6
30人以上,18,150.2,136.6,13.6,13.2,79.4,76.6,2.8
５人以上,18.1,150.9,137.9,13,12.7,76.5,73.8,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１月分（暫定版）,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
