規模,産業,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,調査産業計,7974727,4572834,3401893,186708,97561,89147,200931,108107,92824,7960504,4562288,3398216,26.5,15.7,40.9
５人以上,"鉱業,採石業,砂利採取業",×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
５人以上,建設業,349298,284009,65289,6302,5150,1152,4415,3507,908,351185,285652,65533,4.3,2.5,12.2
５人以上,製造業,570433,392404,178029,8556,6026,2530,10482,7260,3222,568507,391170,177337,9.1,3.3,22
５人以上,電気・ガス・熱供給・水道業,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
５人以上,情報通信業,815644,590851,224793,12008,8001,4007,15108,9846,5262,812544,589006,223538,4.4,2.2,10.5
５人以上,"運輸業,郵便業",462622,370748,91874,6954,4572,2382,9571,8036,1535,460005,367284,92721,13.6,11,24.2
５人以上,"卸売業,小売業",1664748,947253,717495,35084,17808,17276,33778,19277,14501,1666054,945784,720270,28.5,16.1,44.9
５人以上,"金融業,保険業",396038,206708,189330,9320,4854,4466,8860,5766,3094,396498,205796,190702,7.3,2.2,12.9
５人以上,"不動産業,物品賃貸業",212466,132858,79608,4578,2610,1968,5116,3728,1388,211928,131740,80188,15,7.3,27.8
５人以上,"学術研究,専門・技術サービス業",386374,255308,131066,6415,3143,3272,5643,3594,2049,387146,254857,132289,8.4,4,16.9
５人以上,"宿泊業,飲食サービス業",689137,302309,386828,28229,14572,13657,35157,15031,20126,682209,301850,380359,78.9,67.6,87.9
５人以上,"生活関連サービス業,娯楽業",238191,109263,128928,7542,3973,3569,8547,2694,5853,237186,110542,126644,46.8,38.5,54.1
５人以上,"教育,学習支援業",414928,186472,228456,18058,9320,8738,13543,7094,6449,419443,188698,230745,37.9,31.8,42.9
５人以上,"医療,福祉",737958,201081,536877,13740,3845,9895,15103,4613,10490,736595,200313,536282,36.4,25.1,40.6
５人以上,複合サービス事業,37459,23119,14340,711,306,405,432,134,298,37738,23291,14447,17.2,5.3,36.5
５人以上,サービス業（他に分類されないもの）,966243,542718,423525,29105,13286,15819,34822,17262,17560,960526,538742,421784,29.9,20.3,42.2
30人以上,調査産業計,5541234,3299496,2241738,120498,65768,54730,127354,75504,51850,5534378,3289760,2244618,20.3,11,33.8
30人以上,"鉱業,採石業,砂利採取業",×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,建設業,223188,186878,36310,3685,3134,551,2777,2072,705,224096,187940,36156,2.8,1.5,9.4
30人以上,製造業,418375,286759,131616,6698,4747,1951,8527,6158,2369,416546,285348,131198,7.3,2.1,18.4
30人以上,電気・ガス・熱供給・水道業,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×
30人以上,情報通信業,713694,523416,190278,9586,6585,3001,12852,9027,3825,710428,520974,189454,3.3,1.3,8.8
30人以上,"運輸業,郵便業",390870,310198,80672,6006,4133,1873,8909,7577,1332,387967,306754,81213,14,11.7,22.5
30人以上,"卸売業,小売業",1030299,610120,420179,16801,10262,6539,17320,11068,6252,1029780,609314,420466,20.9,8.8,38.5
30人以上,"金融業,保険業",325652,169514,156138,6891,3985,2906,6726,4373,2353,325817,169126,156691,7.9,2.2,14
30人以上,"不動産業,物品賃貸業",139541,88578,50963,2750,1539,1211,2102,1355,747,140189,88762,51427,11.8,7.1,19.9
30人以上,"学術研究,専門・技術サービス業",279116,192031,87085,4625,2596,2029,3718,2636,1082,280023,191991,88032,7.8,3.8,16.5
30人以上,"宿泊業,飲食サービス業",226174,97311,128863,9029,4021,5008,8955,4033,4922,226248,97299,128949,67.3,53.3,77.8
30人以上,"生活関連サービス業,娯楽業",126381,53372,73009,3494,1024,2470,3316,1326,1990,126559,53070,73489,47.7,38.4,54.5
30人以上,"教育,学習支援業",322279,148397,173882,15687,8468,7219,11639,6207,5432,326327,150658,175669,33.5,26.1,39.8
30人以上,"医療,福祉",475467,149815,325652,7999,3038,4961,8503,3512,4991,474963,149341,325622,30.1,21.1,34.2
30人以上,複合サービス事業,24517,18147,6370,408,242,166,255,108,147,24670,18281,6389,14,5,39.7
30人以上,サービス業（他に分類されないもの）,815813,440094,375719,26733,11899,14834,31664,15984,15680,810882,436009,374873,32,22,43.6
,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１０月分,,,,,,,,,,,,,,,,
第３表  規模、産業、性別常用労働者数及びパートタイム労働者比率,,,,,,,,,,,,,,,,
