規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.3,17.7,16.8,141.4,147.3,132.2,129.4,133.5,123,12,13.8,9.2
100～499人,17.7,18.2,16.9,142.4,151.1,128.6,130.8,137.1,120.8,11.6,14,7.8
100人以上,17.5,17.9,16.9,141.9,149.2,130.4,130.1,135.3,121.9,11.8,13.9,8.5
30～99人,17.4,18.4,16.3,136.7,151.8,117.2,125.6,136.8,111.2,11.1,15,6
５～29人,16.9,18.1,15.5,127.1,143.7,108.4,119.7,133.6,104,7.4,10.1,4.4
30人以上,17.5,18,16.7,140.3,150,125.8,128.7,135.8,118.2,11.6,14.2,7.6
５人以上,17.3,18.1,16.3,136.2,148.3,119.9,125.9,135.2,113.4,10.3,13.1,6.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
