事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成25,2013,年平均,17.9,19,16.5,136.8,153.4,117,128.6,142.4,112.1,8.2,11,4.9
５～29人,平成26,2014,年平均,17.6,18.8,16.2,134.6,151.7,114.3,126.3,140.5,109.4,8.3,11.2,4.9
５～29人,平成27,2015,年平均,17.6,18.8,16.2,136.1,153.3,115,127.6,141.7,110.3,8.5,11.6,4.7
５～29人,平成28,2016,年平均,17.6,18.7,16.2,135.5,151.9,115.7,127.1,140.6,110.9,8.4,11.3,4.8
５～29人,平成29,2017,年平均,17.4,18.7,16,134.9,152.5,114.1,126,140.1,109.3,8.9,12.4,4.8
５～29人,平成30,2018,年平均,17,18.3,15.7,128.6,145.3,110.2,120.9,134.8,105.6,7.7,10.5,4.6
５～29人,平成30,2018,1月,15.8,16.9,14.6,119.9,135.4,102.7,112.2,124.8,98.1,7.7,10.6,4.6
５～29人,平成30,2018,2月,16.7,18,15.3,126.6,143.5,107.7,118.9,132.9,103.2,7.7,10.6,4.5
５～29人,平成30,2018,3月,17.1,18.3,15.7,130,146.8,111.4,121.8,135.5,106.5,8.2,11.3,4.9
５～29人,平成30,2018,4月,17.4,18.7,16,133,150.3,113.8,124.4,138.6,108.6,8.6,11.7,5.2
５～29人,平成30,2018,5月,16.8,17.9,15.6,127.3,143.1,109.9,119.5,132.4,105.2,7.8,10.7,4.7
５～29人,平成30,2018,6月,17.9,19.1,16.5,135.1,152.2,116,127.2,141.5,111.3,7.9,10.7,4.7
５～29人,平成30,2018,7月,17.4,18.7,16,130.9,147.8,112.2,123.3,137.5,107.6,7.6,10.3,4.6
５～29人,平成30,2018,8月,16.7,17.9,15.4,125.9,141.7,108.1,118.8,132,104,7.1,9.7,4.1
５～29人,平成30,2018,9月,16.9,18.1,15.5,127.1,143.7,108.4,119.7,133.6,104,7.4,10.1,4.4
５～29人,平成30,2018,10月,17.1,18.3,15.7,128.3,145.2,109.7,120.9,135.1,105.3,7.4,10.1,4.4
５～29人,平成30,2018,11月,17.7,19,16.3,133.1,150.7,114,125.4,140.1,109.4,7.7,10.6,4.6
５～29人,平成30,2018,12月,16.8,18.1,15.5,126.6,143.7,108.3,119.1,133.4,103.7,7.5,10.3,4.6
30～99人,平成25,2013,年平均,18.7,19.3,17.7,148.9,162.7,128.7,136.2,146.1,121.6,12.7,16.6,7.1
30～99人,平成26,2014,年平均,18.6,19.3,17.6,149,162.5,129.6,135.9,145.5,122.1,13.1,17,7.5
30～99人,平成27,2015,年平均,18.1,18.9,17,142.3,157.1,122.6,130.9,142.1,116,11.4,15,6.6
30～99人,平成28,2016,年平均,18.1,19,17,140.6,154.8,122,130.4,141.5,115.9,10.2,13.3,6.1
30～99人,平成29,2017,年平均,18.1,19,17,140.4,155.2,122,130,141.2,116,10.4,14,6
30～99人,平成30,2018,年平均,18,19,16.8,140.8,156.5,120.9,129.7,141.8,114.3,11.1,14.7,6.6
30～99人,平成30,2018,1月,16.8,17.7,15.7,129.8,144.3,112,119.8,131.1,105.9,10,13.2,6.1
30～99人,平成30,2018,2月,17.6,18.6,16.3,137.3,153.3,117.3,126.4,138.8,110.9,10.9,14.5,6.4
30～99人,平成30,2018,3月,18.1,19.2,16.6,142.6,159.3,121.1,130.8,143.8,114,11.8,15.5,7.1
30～99人,平成30,2018,4月,18.3,19.3,17,143.8,160,123.2,132,144.5,116.2,11.8,15.5,7
30～99人,平成30,2018,5月,18,18.8,16.9,139.8,153.5,122.3,129,139.4,115.7,10.8,14.1,6.6
30～99人,平成30,2018,6月,19,20,17.7,147.8,163.6,127.2,136.2,148.2,120.6,11.6,15.4,6.6
30～99人,平成30,2018,7月,18.5,19.6,17.2,144.2,160.4,123.5,133.4,146.2,117.1,10.8,14.2,6.4
30～99人,平成30,2018,8月,17.9,18.9,16.6,138.8,153.9,119.3,128.9,140.6,113.7,9.9,13.3,5.6
30～99人,平成30,2018,9月,17.4,18.4,16.3,136.7,151.8,117.2,125.6,136.8,111.2,11.1,15,6
30～99人,平成30,2018,10月,18.4,19.4,17,143.9,160.1,123.2,132.4,145.2,116.1,11.5,14.9,7.1
30～99人,平成30,2018,11月,18.8,19.8,17.5,147.7,163.7,127,135.5,147.8,119.6,12.2,15.9,7.4
30～99人,平成30,2018,12月,17.6,18.6,16.3,138,153.7,118.1,126.8,138.7,111.6,11.2,15,6.5
100～499人,平成25,2013,年平均,18.5,19,17.7,150.5,160.1,134,136.4,143.1,124.9,14.1,17,9.1
100～499人,平成26,2014,年平均,18.4,18.9,17.5,149.6,159.9,132.7,135.3,142.6,123.3,14.3,17.3,9.4
100～499人,平成27,2015,年平均,18.5,18.9,17.7,150.8,160.2,133.9,136.7,143.2,125,14.1,17,8.9
100～499人,平成28,2016,年平均,18.4,18.9,17.6,150.2,159.8,132.5,136.5,143.3,124,13.7,16.5,8.5
100～499人,平成29,2017,年平均,18.5,19,17.6,150.4,159.9,133.3,137.2,144,125,13.2,15.9,8.3
