規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,467074,547888,336927,424687,496370,309245,390193,34494,42387,51518,27682
100～499人,390370,456319,283414,364438,423547,268575,339192,25246,25932,32772,14839
100人以上,428688,502002,310205,394536,459878,288936,364670,29866,34152,42124,21269
30～99人,307562,376511,220134,301179,368830,215398,280699,20480,6383,7681,4736
５～29人,264208,329723,191925,252344,314895,183331,239111,13233,11864,14828,8594
30人以上,389854,464446,278458,364605,432630,263016,337748,26857,25249,31816,15442
５人以上,351539,427050,248851,330372,399949,235752,307670,22702,21167,27101,13099
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
