規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18,18.5,17.3,147.3,154.3,136.6,134.2,139.3,126.3,13.1,15,10.3
100～499人,18.1,18.6,17.2,145,154,130.5,132.5,139,122.1,12.5,15,8.4
100人以上,18,18.5,17.3,146.1,154.2,133.6,133.3,139.2,124.2,12.8,15,9.4
30～99人,17.6,18.6,16.3,138,153.7,118.1,126.8,138.7,111.6,11.2,15,6.5
５～29人,16.8,18.1,15.5,126.6,143.7,108.3,119.1,133.4,103.7,7.5,10.3,4.6
30人以上,17.9,18.5,16.9,143.6,154,128.2,131.3,139,119.8,12.3,15,8.4
５人以上,17.6,18.4,16.4,138.3,151.2,121.4,127.5,137.5,114.3,10.8,13.7,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
