規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.7,19.2,18,153.9,160.9,142.7,140,145.1,131.8,13.9,15.8,10.9
100～499人,18.5,18.9,17.9,149.2,157.8,135.3,136.4,142.6,126.5,12.8,15.2,8.8
100人以上,18.6,19.1,17.9,151.5,159.3,139,138.2,143.8,129.1,13.3,15.5,9.9
30～99人,18.3,19.3,17,143.8,160,123.2,132,144.5,116.2,11.8,15.5,7
５～29人,17.4,18.7,16,133,150.3,113.8,124.4,138.6,108.6,8.6,11.7,5.2
30人以上,18.5,19.1,17.6,149,159.5,133.5,136.2,144,124.6,12.8,15.5,8.9
５人以上,18.2,19,17,144.1,156.9,126.7,132.6,142.5,119.1,11.5,14.4,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
