規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18,150.4,136.6,13.8,13.8,91.5,87.1,4.4
100～499人,17.9,150.2,136.6,13.6,13.9,84.6,81.6,3
100人以上,17.9,150.3,136.6,13.7,13.9,87.6,84,3.6
30～99人,18.3,153.1,139.7,13.4,13.4,76.7,74.4,2.3
５～29人,18.5,153.7,142.3,11.4,12.1,72.3,69.7,2.6
30人以上,18,151.1,137.5,13.6,13.6,82.3,79.3,3
５人以上,18.1,151.8,138.7,13.1,12.9,77.6,74.8,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１月分（確報）,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
