規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,20,166.5,151.2,15.3,14.8,102.4,97.5,4.9
100～499人,20.1,167.6,152.6,15,14.7,90.5,86.9,3.6
100人以上,20,167.1,151.9,15.2,14.7,96.1,91.9,4.2
30～99人,20.8,174.7,158.6,16.1,13.9,80.1,77.7,2.4
５～29人,21.1,173.6,162.2,11.4,12.8,74.4,72,2.4
30人以上,20.3,169.2,153.8,15.4,14.3,88.6,85.3,3.3
５人以上,20.5,170.3,155.9,14.4,13.6,81.9,79,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
