規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1231852,468484,430864,37620,763368,169629,158956,149778,9178,10673
100～499人,918358,412991,383744,29247,505367,140561,127106,120789,6317,13455
100人以上,1077677,441193,407691,33502,636484,153724,141529,133916,7613,12195
30～99人,824482,380888,355842,25046,443594,109269,101989,98932,3057,7280
５～29人,655159,360501,343037,17464,294658,99355,92912,90334,2578,6443
30人以上,1005648,424037,392940,31097,581611,133176,123253,117746,5507,9923
５人以上,919951,408502,380739,27763,511449,117078,108811,104698,4113,8267
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
