産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.78,1.9,1.52,1.71
"鉱業,採石業,砂利採取業",×,×,×,×
建設業,1.25,0.59,1.05,0.45
製造業,1.11,0.95,0.97,0.86
電気・ガス・熱供給・水道業,×,×,×,×
情報通信業,1.41,0.91,1.45,0.87
"運輸業,郵便業",0.81,1.09,0.96,1.01
"卸売業,小売業",1.64,1.57,1.06,1.22
"金融業,保険業",0.95,1.19,0.96,1.18
"不動産業,物品賃貸業",1.38,2.52,1.06,2.01
"学術研究,専門・技術サービス業",1.09,1.23,1.03,1.35
"宿泊業,飲食サービス業",3.99,4.17,3.28,3.88
"生活関連サービス業,娯楽業",3.21,2.97,3.07,2.69
"教育,学習支援業",1.97,1.69,2.17,1.64
"医療,福祉",1.78,2.14,1.71,1.91
複合サービス事業,0.88,0.51,0.25,0.77
サービス業（他に分類されないもの）,2.13,3.26,2.28,3.65
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年９月分,,,,
第４表  規模、産業別労働異動率,,,,
