規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,619682,747611,419616,421400,493999,307864,388758,32642,198282,253612,111752
100～499人,498362,595225,342508,360489,419323,265824,336780,23709,137873,175902,76684
100人以上,559035,671015,381406,390951,456464,287032,362775,28176,168084,214551,94374
30～99人,409248,513510,275781,299743,365207,215941,281262,18481,109505,148303,59840
５～29人,340923,440059,231707,251160,315045,180779,237136,14024,89763,125014,50928
30人以上,510989,623479,344564,361695,428922,262235,336629,25066,149294,194557,82329
５人以上,459258,572583,306163,328072,397323,234519,306365,21707,131186,175260,71644
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年７月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
