規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,430874,506972,312733,420180,493250,306740,387605,32575,10694,13722,5993
100～499人,372611,433193,273902,362027,421061,265841,338356,23671,10584,12132,8061
100人以上,401770,469773,293625,391131,456853,286614,363004,28127,10639,12920,7011
30～99人,312099,382243,220623,297706,361766,214164,280428,17278,14393,20477,6459
５～29人,261897,330370,185462,249508,312546,179140,238472,11036,12389,17824,6322
30人以上,372927,443149,268241,361081,427930,261422,336443,24638,11846,15219,6819
５人以上,339150,411780,240115,327138,395836,233465,306638,20500,12012,15944,6650
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年８月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
