規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,559995,461838,425095,36743,98157,160286,157117,147359,9758,3169
100～499人,459550,402732,373992,28740,56818,128469,127351,122117,5234,1118
100人以上,510056,432452,399688,32764,77604,144114,141987,134529,7458,2127
30～99人,400953,379497,354273,25224,21456,103774,103068,100004,3064,706
５～29人,374495,357838,339431,18407,16657,94228,93762,90864,2898,466
30人以上,478724,417244,386645,30599,61480,125917,124431,118955,5476,1486
５人以上,453353,402784,375153,27631,50569,111046,110039,105773,4266,1007
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年５月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
