規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,155,140.5,14.5,14.6,101.7,96.8,4.9
100～499人,18.8,156.6,142.4,14.2,14.3,89.3,85.1,4.2
100人以上,18.7,155.8,141.4,14.4,14.4,94.9,90.4,4.5
30～99人,19.2,162.1,147.4,14.7,13.5,78.8,76.1,2.7
５～29人,19.9,164.2,153.2,11,12.5,73.2,70.6,2.6
30人以上,18.9,157.6,143.1,14.5,14,87.5,83.8,3.7
５人以上,19.1,159.2,145.6,13.6,13.3,80.6,77.5,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
