規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1079466,1325812,698271,424079,500940,305145,390539,33540,655387,824872,393126
100～499人,783836,954870,511141,363546,425414,264905,338265,25281,420290,529456,246236
100人以上,931487,1139055,605458,393779,462915,285187,364373,29406,537708,676140,320271
30～99人,617833,767846,426147,300305,368322,213393,281612,18693,317528,399524,212754
５～29人,425924,545480,296521,250137,315043,179885,238813,11324,175787,230437,116636
30人以上,831106,1027045,543252,363864,434372,260280,337887,25977,467242,592673,282972
５人以上,707179,893200,458582,329080,401206,232691,307584,21496,378099,491994,225891
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
