規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,437406,514285,316964,420045,492865,305963,390145,29900,17361,21420,11001
100～499人,380494,446007,276041,362828,423824,265578,340989,21839,17666,22183,10463
100人以上,408933,480010,296600,391420,458207,285867,365553,25867,17513,21803,10733
30～99人,319713,391446,227093,302935,370397,215830,284561,18374,16778,21049,11263
５～29人,254896,318573,183779,249721,312504,179603,238631,11090,5175,6069,4176
30人以上,380323,453193,272474,363046,431618,261557,339582,23464,17277,21575,10917
５人以上,342109,415605,242387,328519,398360,233757,308825,19694,13590,17245,8630
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
