産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,6.36,4.92,7.01,4.84
"鉱業,採石業,砂利採取業",6.59,2.93,6.59,2.93
建設業,3.51,2.66,4.15,3.18
製造業,4.57,2.49,5.34,3.02
電気・ガス・熱供給・水道業,5.29,0.79,5.29,0.79
情報通信業,6,3.86,6.34,3.7
"運輸業,郵便業",5.09,3.92,5.81,4.09
"卸売業,小売業",5.28,4.1,6.18,3.86
"金融業,保険業",7.7,3.99,7.13,4.04
"不動産業,物品賃貸業",5.84,3.71,6.46,3.43
"学術研究,専門・技術サービス業",4.96,3.34,5.67,3.65
"宿泊業,飲食サービス業",6.53,7.5,7.21,6.23
"生活関連サービス業,娯楽業",6.12,5.8,5.47,5.53
"教育,学習支援業",12.96,11.28,12.78,11.31
"医療,福祉",8.84,7.62,10.45,8.89
複合サービス事業,12.44,12.56,12.73,12.36
サービス業（他に分類されないもの）,6.34,4.2,7.11,4.31
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年４月分,,,,
第４表  規模、産業別労働異動率,,,,
