規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,485677,465720,432208,33512,19957,163582,160947,151540,9407,2635
100～499人,432730,411638,386405,25233,21092,122743,121987,116894,5093,756
100人以上,459482,438963,409547,29416,20519,141955,140315,133193,7122,1640
30～99人,405440,382716,358235,24481,22724,102514,100803,97900,2903,1711
５～29人,366069,357572,340727,16845,8497,94311,93934,91158,2776,377
30人以上,443972,422820,394820,28000,21152,123960,122287,117090,5197,1673
５人以上,424944,406883,381608,25275,18061,109905,108847,104798,4049,1058
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年９月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
