規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,497511,594129,340362,414203,482118,303739,381679,32524,83308,112011,36623
100～499人,405822,476144,289990,358043,414963,264286,333117,24926,47779,61181,25704
100人以上,451763,535120,315327,386182,448531,284131,357449,28733,65581,86589,31196
30～99人,318111,390850,223742,302439,368395,216870,283392,19047,15672,22455,6872
５～29人,261432,327547,187995,251307,313147,182619,239156,12151,10125,14400,5376
30人以上,409056,491935,283252,359423,424544,260575,333785,25638,49633,67391,22677
５人以上,364465,446860,250819,326766,393999,234032,305202,21564,37699,52861,16787
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年５月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
