事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成25,2013,年平均,100.6,98.8,100.4,98.9,100.8,98.4,100.5,101.4,96.8,105.5,100.8,104,103,100,96.7,100
５人以上,平成26,2014,年平均,99.5,97.2,100,97.9,100.4,95.7,100.3,100.5,100.2,103.7,96,101.4,99.8,98.7,98.8,99.9
５人以上,平成27,2015,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,99.3,101.2,99.4,102.3,99.4,99.9,98.8,99.5,100.4,99.2,97,96.6,104.4,100.6,99.4,98.1
５人以上,平成29,2017,年平均,99.2,102.1,100,101.3,98.9,99.4,99.9,100.3,100.4,100.8,95.3,93.5,104.1,100.3,100.6,96.6
５人以上,平成30,2018,年平均,97.8,101.3,100.7,99,96.3,94.4,99.2,100,98.9,99.1,92.7,90.7,108.4,101.4,104,96.4
５人以上,平成30,2018,1月,91.5,90.5,90.9,92.7,90.5,90.5,93.3,93.5,91.9,89,92.5,87.4,99.7,96.1,94.2,90.2
５人以上,平成30,2018,2月,94.5,100.1,100.1,94.5,93.2,91.2,96,92.5,96.5,96.4,88.5,84.9,103.8,97.9,97.8,92.9
５人以上,平成30,2018,3月,98.4,103.3,102.5,103.3,98,93.2,98.3,99.8,101.2,100.6,94.4,91.4,108.8,101.8,107.4,97.3
５人以上,平成30,2018,4月,99.9,102.5,103.7,100.9,99.7,96.1,100.5,101.8,103.6,101.2,96.3,93.9,111,104.1,105.9,96.5
５人以上,平成30,2018,5月,97.7,98,97.7,105.8,94.9,93.3,98.5,102.9,98.1,99.8,96.7,93.7,111,103.3,107.3,95.2
５人以上,平成30,2018,6月,102,107.1,105.4,ｘ,98.9,97.1,102.8,105,103.2,104.9,97,94.5,116,106.7,108.5,99.9
５人以上,平成30,2018,7月,100.4,105.2,104.1,100.2,99.8,95.6,103,103.3,101.9,102.3,90.3,91.2,114,103,108.6,98.6
５人以上,平成30,2018,8月,97.8,98.4,97.8,ｘ,97.4,95.3,99.3,104.3,97.9,101,92.7,93.4,94.9,102.3,105.7,97.1
５人以上,平成30,2018,9月,94.5,100.7,97.5,ｘ,91.3,92.9,96.7,93.1,96,93.8,90.1,88,106.2,97.6,92.2,92.8
５人以上,平成30,2018,10月,99,103.6,100.4,ｘ,96.8,93.8,99.7,103.5,98.7,99.2,90.6,91,116,103.8,111.3,98.6
５人以上,平成30,2018,11月,102,107,107.5,99.3,100.6,98.8,103.8,104.8,101.9,105.1,92.3,90.3,117.5,102.7,106.6,101.2
５人以上,平成30,2018,12月,95.9,99.1,100.8,91.7,94.2,94.9,98,95.1,95.5,95.9,90.4,88.8,102.1,98,102.7,96.5
５人以上,平成26,2014,年平均（前年比（％））,-1.1,-1.6,-0.4,-1,-0.3,-2.6,-0.3,-0.8,3.5,-1.7,-4.7,-2.6,-3.1,-1.4,2.2,0
５人以上,平成27,2015,年平均（前年比（％））,0.5,2.8,0,2.2,-0.5,4.4,-0.3,-0.5,-0.2,-3.6,4.1,-1.3,0.2,1.4,1.2,0.1
５人以上,平成28,2016,年平均（前年比（％））,-0.7,1.2,-0.6,2.3,-0.6,-0.1,-1.1,-0.5,0.4,-0.7,-3,-3.5,4.4,0.6,-0.6,-2
５人以上,平成29,2017,年平均（前年比（％））,-0.1,0.9,0.6,-1,-0.5,-0.5,1.1,0.8,0,1.6,-1.8,-3.2,-0.3,-0.3,1.2,-1.5
５人以上,平成30,2018,年平均（前年比（％））,-1.4,-0.8,0.7,-2.3,-2.6,-5,-0.7,-0.3,-1.5,-1.7,-2.7,-3,4.1,1.1,3.4,-0.2
５人以上,平成30,2018,1月（前年同月比（％））,-1,-0.8,1.2,-1.4,-0.3,-7.1,-0.6,-1.5,-0.3,-0.6,1.6,-2,5.1,2.2,-0.7,-2.3
５人以上,平成30,2018,2月（前年同月比（％））,-3.8,-5.2,-1.4,-4.2,-5,-7.3,-2.7,-3.4,-3.5,-6.6,-2.3,-4.8,-1.4,-0.3,0.9,-0.9
５人以上,平成30,2018,3月（前年同月比（％））,-2.6,-2.6,0.8,-6.1,-4.2,-6.3,-1.4,-4.8,-2,-4.2,-0.6,-3.9,3.3,0.2,0.2,-1.6
５人以上,平成30,2018,4月（前年同月比（％））,-2.4,-1.9,-1,-8.2,-2.7,-6.8,-2.7,-0.8,-2.3,-4.8,1,-4.2,3.3,1.2,1,-0.9
５人以上,平成30,2018,5月（前年同月比（％））,0.5,3,2.7,6.4,-0.7,-4.8,1.3,2.9,1.8,1.5,-0.5,-2,5.5,2.7,6.7,-0.2
５人以上,平成30,2018,6月（前年同月比（％））,-1.6,-0.3,-0.5,ｘ,-4.6,-5.3,-1,-1.2,-0.9,-1.4,-2.4,-4,3.5,1.9,2.1,1.3
５人以上,平成30,2018,7月（前年同月比（％））,-0.7,0.9,0.9,1.5,-1.4,-4.9,0.9,2.8,-0.6,-0.5,-8.2,-4.8,9,1.2,10.5,1.1
５人以上,平成30,2018,8月（前年同月比（％））,1.1,3.8,5,ｘ,0.5,-3,2,4.8,2.3,1.8,-4.4,-1.8,7.4,1.3,6.8,0.3
５人以上,平成30,2018,9月（前年同月比（％））,-4,-2.7,-2.3,ｘ,-5.6,-6.1,-3,-5,-4.6,-4.4,-4,-4.7,0,-0.2,-3.4,-4
５人以上,平成30,2018,10月（前年同月比（％））,-1,-1.9,-0.5,ｘ,-2.2,-4.3,-0.7,1.5,-2.7,-2,-5.8,-1,6.5,1.6,9.4,1.8
５人以上,平成30,2018,11月（前年同月比（％））,1.6,2.4,4.4,0.7,-0.1,-0.1,2.1,5.3,-1.6,3.4,-2.3,1.6,8.1,1.5,7.5,2.8
５人以上,平成30,2018,12月（前年同月比（％））,-3.1,-3.4,-0.6,-3.9,-4.7,-4.1,-2.7,-5.1,-4,-2.4,-5.4,-3.4,-0.5,0.1,0.1,-0.3
