規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.4,17.8,16.8,142.6,148.9,132.5,130,134.5,122.8,12.6,14.4,9.7
100～499人,17.2,17.6,16.6,139,146.9,125.9,127.2,132.7,118.1,11.8,14.2,7.8
100人以上,17.3,17.7,16.7,140.8,147.9,129.3,128.6,133.6,120.5,12.2,14.3,8.8
30～99人,16.8,17.7,15.7,129.8,144.3,112,119.8,131.1,105.9,10,13.2,6.1
５～29人,15.8,16.9,14.6,119.9,135.4,102.7,112.2,124.8,98.1,7.7,10.6,4.6
30人以上,17.1,17.7,16.3,137.2,146.8,122.9,125.7,132.8,115.1,11.5,14,7.8
５人以上,16.7,17.5,15.7,131.9,143.6,116,121.6,130.6,109.3,10.3,13,6.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１月分（確報）,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
