規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,1008453,1236245,647645,418320,490366,304204,384702,33618,590133,745879,343441
100～499人,692815,839588,457477,359845,417835,266864,335329,24516,332970,421753,190613
100人以上,851018,1037933,553150,389154,454104,285650,360076,29078,461864,583829,267500
30～99人,493735,599644,356548,302920,369648,216486,283517,19403,190815,229996,140062
５～29人,338268,424853,242346,250396,312125,182010,238386,12010,87872,112728,60336
30人以上,736416,905342,484744,361494,428554,261585,335520,25974,374922,476788,223159
５人以上,615952,772770,402616,327880,396430,234624,306131,21749,288072,376340,167992
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年６月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
