規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.6,163.5,149.2,14.3,14.8,104.1,99.3,4.8
100～499人,19.3,160.2,147,13.2,14.5,90.5,87,3.5
100人以上,19.5,161.9,148.1,13.8,14.7,97,92.9,4.1
30～99人,19.6,162.4,149.4,13,13.8,80.3,77.9,2.4
５～29人,19.6,161.1,150.9,10.2,12.5,74.5,71.9,2.6
30人以上,19.5,162,148.5,13.5,14.2,89.3,86,3.3
５人以上,19.5,161.8,149.1,12.7,13.4,82.3,79.3,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年８月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
