産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.56,1.84,1.43,1.67
建設業,0.45,1.15,0.44,1.33
製造業,0.92,0.96,1.05,1.02
電気・ガス・熱供給・水道業,1.12,0.37,1.12,0.37
情報通信業,0.9,1.32,0.79,1.31
"運輸業,郵便業",1.79,1.53,1.65,1.57
"卸売業,小売業",1.52,1.94,1.19,1.81
"金融業,保険業",1.64,1.37,1.59,1.25
"不動産業,物品賃貸業",0.79,1.05,0.89,0.86
"学術研究,専門・技術サービス業",1.11,1.28,1.01,1.24
"宿泊業,飲食サービス業",2.96,3.78,2.67,3.61
"生活関連サービス業,娯楽業",1.46,4,1,3.52
"教育,学習支援業",1.78,1.71,1.61,1.56
"医療,福祉",1.77,1.78,1.61,1.56
複合サービス事業,1.03,1.39,1.09,1.15
サービス業（他に分類されないもの）,2.19,2.03,2.53,2.26
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１月分（暫定版）,,,,
第４表  産業別労働異動率,,,,
