規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1148243,462457,424773,37684,685786,177590,155987,146539,9448,21603
100～499人,800290,404408,376200,28208,395882,137589,129629,124187,5442,7960
100人以上,976556,433815,400807,33008,542741,156451,142058,134727,7331,14393
30～99人,644798,380980,355166,25814,263818,107348,103260,100257,3003,4088
５～29人,499155,354720,336799,17921,144435,100601,96285,93008,3277,4316
30人以上,881622,418696,387746,30950,462926,133648,124040,118719,5321,9608
５人以上,788679,403149,375365,27784,385530,117975,110877,106526,4351,7098
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年６月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
