事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業，採石業，砂利採取業／入職率(％),鉱業，採石業，砂利採取業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業，郵便業／入職率(％),運輸業，郵便業／離職率(％),卸売業，小売業／入職率(％),卸売業，小売業／離職率(％),金融業，保険業／入職率(％),金融業，保険業／離職率(％),不動産業，物品賃貸業／入職率(％),不動産業，物品賃貸業／離職率(％),学術研究，専門・技術サービス業／入職率(％),学術研究，専門・技術サービス業／離職率(％),宿泊業，飲食サービス業／入職率(％),宿泊業，飲食サービス業／離職率(％),生活関連サービス業，娯楽業／入職率(％),生活関連サービス業，娯楽業／離職率(％),教育，学習支援業／入職率(％),教育，学習支援業／離職率(％),医療，福祉／入職率(％),医療，福祉／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
30人以上,平成25,2013,年平均,1.91,1.88,1.63,1.49,1.15,1.22,1.21,1.33,1.04,4.27,1.12,1.21,1.62,1.7,1.26,1.42,1.93,1.94,1.55,1.65,3.12,2.11,3.19,3.11,2.2,2.06,4.05,3.68,1.96,1.83,2.47,2.87,2.7,2.43
30人以上,平成26,2014,年平均,1.88,1.78,1.92,1.52,1.28,1.15,1.16,1.21,1.38,1.72,1.26,1.01,1.77,1.65,1.41,1.42,1.65,1.71,1.57,1.47,2.81,2.42,3.15,3.1,1.85,1.61,3.52,3.4,1.76,1.65,2.49,2.36,2.64,2.42
30人以上,平成27,2015,年平均,2.08,2.02,－,－,1.12,0.97,1.38,1.43,1.31,1.42,1.53,1.56,1.97,1.85,1.76,1.77,1.7,1.59,1.73,1.76,1.71,1.24,3.51,3.61,2.79,2.61,3.68,3.54,2.37,2.2,2.32,2.27,2.82,2.77
30人以上,平成28,2016,年平均,2.11,2.03,－,－,0.94,0.97,1.3,1.19,1.22,1.1,1.58,1.48,1.92,2.02,1.76,1.75,1.79,1.57,1.84,1.65,1.63,1.33,4,4.02,3.46,3.44,3.77,3.49,2.25,2.15,1.89,1.66,2.93,2.86
30人以上,平成29,2017,年平均,2.16,2,－,－,0.97,0.8,1.25,1.21,1.65,0.7,1.7,1.41,1.87,1.77,1.74,1.6,1.65,1.6,1.54,1.57,1.46,1.47,3.92,3.68,3.44,3.18,3.89,3.77,2.28,2.2,2.06,2.55,3.36,3.01
30人以上,平成30,2018,年平均,2.05,2.01,2.22,2.52,1.09,1.06,1.32,1.32,1.25,1.55,1.59,1.54,1.9,1.86,1.53,1.54,1.62,1.51,1.69,1.44,1.6,1.48,4.02,4.08,2.7,3.15,2.73,2.82,2.16,2.14,1.87,2.14,3.25,3.04
30人以上,平成30,2018,1月,1.3,1.46,1.06,2.96,0.37,1.46,0.98,1.11,0.68,0.35,0.76,1.14,1.34,1.33,1.03,1.24,1.72,1.16,1.16,0.93,1.24,1.09,1.96,3.11,1.46,2.37,0.44,0.54,1.86,2.02,2.67,4.43,2.23,2.04
30人以上,平成30,2018,2月,1.3,1.45,1.15,3.87,0.32,0.91,0.52,0.98,0.12,1.42,1.04,0.85,1.64,1.3,0.86,1.19,0.65,1.13,0.83,0.96,1.43,1.3,2.96,3.71,2.09,2.93,0.3,0.81,1.06,1.54,0.13,0.4,2.91,2.42
30人以上,平成30,2018,3月,1.62,2.26,3.17,2.51,0.63,1.17,1.07,1.03,0.29,0.1,1.17,1.31,1.96,1.39,1.12,1.51,0.75,1.44,1.14,0.98,0.84,1.38,4.04,5.75,3.32,7.73,0.6,5.02,1.55,2.3,0.6,2.87,3.33,3.26
30人以上,平成30,2018,4月,7.01,4.84,6.59,2.93,4.15,3.18,5.34,3.02,5.29,0.79,6.34,3.7,5.81,4.09,6.18,3.86,7.13,4.04,6.46,3.43,5.67,3.65,7.21,6.23,5.47,5.53,12.78,11.31,10.45,8.89,12.73,12.36,7.11,4.31
30人以上,平成30,2018,5月,2.14,1.93,2.05,1.84,0.93,0.88,1.04,0.96,0.57,2.32,1.37,1.58,1.6,1.55,1.54,1.6,1.42,1.38,2.16,1.86,1.53,1.19,4.94,4.22,3.2,3.24,4.35,2.55,1.64,1.2,0.7,0.53,3.76,3.47
30人以上,平成30,2018,6月,1.6,1.75,ｘ,ｘ,0.65,0.49,0.82,1.84,ｘ,ｘ,1.04,1.38,1.56,2.59,1.1,1.49,0.85,1.14,1.11,1.26,1.34,1.23,5.07,3.25,2.02,2.31,1.77,1.09,1.08,0.9,0.53,0.55,3.03,3.11
30人以上,平成30,2018,7月,1.78,1.91,2.56,1.9,2.1,1.07,0.87,1.2,1.55,8.35,1.45,1.53,2.85,2.77,1.16,1.36,1.29,1.48,1.59,1.44,1.57,2.66,2.81,4.11,2.18,2.32,0.8,1.08,1.18,1.15,0.48,0.53,3.46,3
30人以上,平成30,2018,8月,1.38,1.68,ｘ,ｘ,0.36,0.6,0.91,0.68,ｘ,ｘ,1.1,1.17,1.07,1.57,0.83,1.22,0.93,1.2,0.89,1,0.87,1.08,4.84,3.85,1.74,2.18,1.29,4.18,0.82,1.33,0.59,0.31,2.81,2.67
30人以上,平成30,2018,9月,1.52,1.71,ｘ,ｘ,1.05,0.45,0.97,0.86,ｘ,ｘ,1.45,0.87,0.96,1.01,1.06,1.22,0.96,1.18,1.06,2.01,1.03,1.35,3.28,3.88,3.07,2.69,2.17,1.64,1.71,1.91,0.25,0.77,2.28,3.65
30人以上,平成30,2018,10月,2.17,2.3,ｘ,ｘ,1.65,1.24,1.6,2.04,ｘ,ｘ,1.34,1.8,1.54,2.28,1.63,1.68,2.12,2.07,1.97,1.51,1.66,1.33,3.99,3.96,2.76,2.62,4.87,3.61,1.68,1.79,1.66,1.04,3.28,3.88
30人以上,平成30,2018,11月,1.48,1.47,2.76,3.27,0.58,0.76,0.88,0.83,0.19,0.42,1,1.63,1.17,1.19,1.01,1.15,0.9,0.87,1.14,1.01,1.06,0.8,3.91,3.54,2.12,1.95,2.04,0.85,1.75,1.73,0.34,0.43,2.54,2.42
30人以上,平成30,2018,12月,1.27,1.37,2.12,2.19,0.34,0.46,0.85,1.26,1.81,2.14,0.97,1.53,1.26,1.24,0.78,0.95,0.71,0.99,0.77,0.89,0.99,0.72,3.22,3.36,2.95,1.87,1.31,1.1,1.08,0.91,1.76,1.42,2.25,2.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成30年年報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第12－２表　産業別労働異動率（事業所規模30人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
