規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.4,162.6,147.2,15.4,14.7,104.1,98.9,5.2
100～499人,19.4,162.1,147.3,14.8,14.5,89.5,86,3.5
100人以上,19.4,162.3,147.2,15.1,14.6,96.1,91.8,4.3
30～99人,20.2,170.8,155,15.8,13.7,78.2,76.2,2
５～29人,20.8,172.4,159.8,12.6,12.5,75.8,72.9,2.9
30人以上,19.6,164.8,149.5,15.3,14.2,87.9,84.7,3.2
５人以上,19.9,166.6,152,14.6,13.4,82.3,79.2,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年４月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
