事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,634774,4.1,85.2,86.4,1.27,-0.01,638962,3.8,85.8,87.9,1.33,-0.05
30人以上,"C 鉱業,採石業,砂利採取業",ｘ,－,ｘ,ｘ,ｘ,－,1549064,－,75,68.6,3.12,3.12
30人以上,D 建設業,977479,26.1,83.7,90.5,1.99,0.37,872374,9.4,100,100,1.86,0.17
30人以上,E 製造業,793210,-15.1,91.4,91.1,1.23,-0.37,773363,-18.7,90.6,87.2,1.65,-0.11
30人以上,F 電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,1023633,44.8,17.7,61.8,2.17,0.65
30人以上,G 情報通信業,705283,9.1,84.1,91.4,1.36,-0.01,708137,5.9,91.5,94.6,1.43,-0.09
30人以上,"H 運輸業,郵便業",568772,6.7,92.9,96.3,1.01,-0.12,555949,2.4,86.3,92.5,1.15,-0.24
30人以上,"I 卸売業,小売業",770194,21.9,92.1,92.4,1.38,0.07,761275,19.1,88.2,90.9,1.29,-0.06
30人以上,"J 金融業,保険業",857408,-17.3,89.3,86.2,2.21,-0.09,912578,7.1,86.2,89.4,2.04,-0.01
30人以上,"K 不動産業,物品賃貸業",698338,5.3,89.5,95.3,1.76,0.08,661741,-9.8,87.4,91.7,1.85,0.06
30人以上,"L 学術研究,専門・技術サービス業",781108,2.9,79.7,79.6,1.66,0.1,822134,10.2,83.9,79,1.79,-0.08
30人以上,"M 宿泊業,飲食サービス業",112327,8.9,84.9,81.3,0.36,-0.02,137702,6,82.5,74.1,0.41,-0.03
30人以上,"N 生活関連サービス業,娯楽業",311754,37,77.1,86.2,1.04,0.17,240408,12,71.3,81.6,0.87,-0.05
30人以上,"O 教育,学習支援業",540726,-0.2,91.4,95.3,1.48,0.04,625731,-3,99.4,99.5,1.73,-0.01
30人以上,"P 医療,福祉",379970,-1.3,70.1,62,0.93,-0.2,463382,1.8,66.4,73.1,1.06,-0.14
30人以上,Q 複合サービス事業,663984,6.5,100,100,1.79,-0.09,658027,-10,100,100,1.74,-0.45
30人以上,R サービス業（他に分類されないもの）,356631,18.2,80.2,78.9,1.1,-0.07,310928,10.9,84,82.6,0.99,-0.09
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成30年年報,,,,,,,,,,,,,
第５表　夏・冬季賞与の産業別支給状況（事業所規模30人以上）,,,,,,,,,,,,,
