規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.4,18.3,154.9,161.7,144,141.5,146.4,133.6,13.4,15.3,10.4
100～499人,19.1,19.5,18.4,153.8,162.1,140.4,141.1,147,131.7,12.7,15.1,8.7
100人以上,19,19.4,18.3,154.3,161.9,142.3,141.3,146.7,132.7,13,15.2,9.6
30～99人,19,20,17.7,147.8,163.6,127.2,136.2,148.2,120.6,11.6,15.4,6.6
５～29人,17.9,19.1,16.5,135.1,152.2,116,127.2,141.5,111.3,7.9,10.7,4.7
30人以上,19,19.6,18.1,152.3,162.5,137,139.7,147.2,128.5,12.6,15.3,8.5
５人以上,18.7,19.5,17.6,147.1,159.6,129.9,135.9,145.6,122.7,11.2,14,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
