規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,699254,466453,429837,36616,232801,168681,166051,155933,10118,2630
100～499人,569590,405988,378795,27193,163602,135038,128403,122466,5937,6635
100人以上,634972,436477,404533,31944,198495,151116,146395,138460,7935,4721
30～99人,530233,378749,353989,24760,151484,108497,103345,100473,2872,5152
５～29人,510087,360386,340468,19918,149701,97116,93738,88209,5529,3378
30人以上,605075,419999,390105,29894,185076,131370,126450,120861,5589,4920
５人以上,581936,405477,378014,27463,176459,115130,110941,105380,5561,4189
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年７月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
