規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,505643,454801,418706,36095,50842,137340,136836,127849,8987,504
100～499人,429346,403563,376500,27063,25783,120559,119925,115360,4565,634
100人以上,468578,429910,398203,31707,38668,127927,127350,120843,6507,577
30～99人,388071,372046,348214,23832,16025,99495,98939,95658,3281,556
５～29人,378486,354775,336320,18455,23711,92165,91499,88673,2826,666
30人以上,445489,413315,383866,29449,32174,113849,113283,108373,4910,566
５人以上,429169,399056,372285,26771,30113,103596,102982,99058,3924,614
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１月分（確報）,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
