事業所規模,和暦年,西暦年,年平均・月・前年比・前年同月比,調査産業計,建設業,製造業,電気・ガス・熱供給・水道業,情報通信業,運輸業，郵便業,卸売業，小売業,金融業，保険業,不動産業，物品賃貸業,学術研究，専門・技術サービス業,宿泊業，飲食サービス業,生活関連サービス業，娯楽業,教育，学習支援業,医療，福祉,複合サービス事業,サービス業（他に分類されないもの）
５人以上,平成25,2013,年平均,104,102.2,100.5,103.2,109.7,104.3,101.9,100.5,98.2,103.4,102.8,117.2,111.9,107.5,96.4,99.2
５人以上,平成26,2014,年平均,100.9,99.5,99.6,97.3,102.9,103.8,99.7,100.1,101.4,100.8,98.4,111.7,102.6,102.3,98.8,98.6
５人以上,平成27,2015,年平均,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
５人以上,平成28,2016,年平均,100.5,101.7,100.2,106.4,101.6,102.6,101.6,96.9,102.8,104,94.6,93.3,106.5,97.9,103.1,96.9
５人以上,平成29,2017,年平均,101.1,104.1,101.8,100.9,100.7,102.1,104.3,101.2,103.2,102.8,94.1,94,103.3,100.3,99.5,94.1
５人以上,平成30,2018,年平均,100.3,105.1,97.6,109.2,102.5,98.5,113.4,100.2,101.7,103.3,92.7,96.4,98,97.5,109.4,92
５人以上,平成30,2018,1月,83.3,83.6,75.6,97.2,93.2,85.5,88.8,75.5,82.2,83.8,87.7,85.8,81,85.2,88.6,82.9
５人以上,平成30,2018,2月,82.2,79,77.4,93.9,84.4,77.6,87.1,97.7,82,80.6,86.8,77.8,75.2,87.3,88,78.8
５人以上,平成30,2018,3月,92.4,90.4,92.7,97,87.5,81.5,106.3,108.3,87.5,86.3,93,84,82.4,105.4,90.3,82.6
５人以上,平成30,2018,4月,85.9,83.6,80.8,87.1,84.2,87.8,92.8,80,91.9,102.1,90.6,86.3,79.7,85.8,90.3,85.8
５人以上,平成30,2018,5月,89,85.6,77.2,91.9,88.4,80.4,94.6,134.8,98.2,83.5,92.7,87.5,76,84.5,85,81.7
５人以上,平成30,2018,6月,150.3,143.1,143.6,ｘ,160.5,143.3,189.6,155.5,157.6,139.3,107.5,140,155,123.7,221.2,125.4
５人以上,平成30,2018,7月,112.1,159.9,120.7,84.5,112.6,114.7,126.1,83.4,114.5,128.3,99.3,102.9,104.7,99.5,92.4,101.1
５人以上,平成30,2018,8月,82,83.8,78.8,ｘ,80.9,81.7,92.7,73.9,80.5,83.2,85.7,95.8,76.7,83.8,83.4,81.1
