規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,493221,457766,421932,35834,35455,130844,130112,123334,6778,732
100～499人,432344,407673,376649,31024,24671,118355,117360,112175,5185,995
100人以上,461823,431930,398577,33353,29893,123429,122541,116709,5832,888
30～99人,405423,389748,367740,22008,15675,98714,97905,95234,2671,809
５～29人,380731,356971,338456,18515,23760,92663,92017,89303,2714,646
30人以上,444205,418753,388944,29809,25452,110934,110086,105852,4234,848
５人以上,428115,403092,376146,26946,25023,102129,101378,97877,3501,751
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１月分（暫定版）,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
