規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.3,160.8,146,14.8,15.1,105.5,100.8,4.7
100～499人,19.6,162.9,148.3,14.6,14.5,90.4,86.7,3.7
100人以上,19.5,161.8,147.1,14.7,14.8,97.4,93.2,4.2
30～99人,20.2,169.8,154.6,15.2,13.9,80.5,78.1,2.4
５～29人,20.3,166.6,155.8,10.8,12.4,72.2,69.9,2.3
30人以上,19.7,164.1,149.3,14.8,14.4,89.7,86.3,3.4
５人以上,19.8,164.7,150.9,13.8,13.5,81.5,78.6,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１０月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
