規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.2,17.6,16.6,141.2,148,130,128.4,133.4,120.1,12.8,14.6,9.9
100～499人,17.3,17.7,16.5,140.7,149.4,125.3,128.4,134.6,117.5,12.3,14.8,7.8
100人以上,17.3,17.7,16.5,140.9,148.7,127.7,128.4,134,118.8,12.5,14.7,8.9
30～99人,16.6,17.4,15.7,128.6,141.6,112.3,119,129,106.5,9.6,12.6,5.8
５～29人,16,17,14.7,121.6,136.3,104.2,113.7,125.8,99.4,7.9,10.5,4.8
30人以上,17,17.6,16.2,136.6,146.4,121.5,125.1,132.4,113.9,11.5,14,7.6
５人以上,16.7,17.4,15.7,131.9,143.5,115.6,121.5,130.5,108.9,10.4,13,6.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１月分（暫定版）,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
