規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.4,18.9,17.7,151.1,158.2,139.5,137.2,142.5,128.6,13.9,15.7,10.9
100～499人,18.3,18.8,17.4,147.9,157.3,132.8,134.7,141.4,124,13.2,15.9,8.8
100人以上,18.3,18.8,17.6,149.5,157.7,136.2,136,141.9,126.3,13.5,15.8,9.9
30～99人,18.1,19.2,16.6,142.6,159.3,121.1,130.8,143.8,114,11.8,15.5,7.1
５～29人,17.1,18.3,15.7,130,146.8,111.4,121.8,135.5,106.5,8.2,11.3,4.9
30人以上,18.3,18.9,17.2,147.3,158.2,130.8,134.3,142.5,121.9,13,15.7,8.9
５人以上,17.9,18.8,16.7,141.9,155,124.1,130.4,140.5,116.6,11.5,14.5,7.5
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
