規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.6,163.5,148.7,14.8,15,104,98.9,5.1
100～499人,19.8,165.6,151.1,14.5,15.1,93.1,89.7,3.4
100人以上,19.7,164.6,149.9,14.7,15,98.2,94,4.2
30～99人,20.8,173.7,158.4,15.3,14.2,81.4,79.3,2.1
５～29人,21.2,174.6,163.3,11.3,13,76.7,73.8,2.9
30人以上,20,167.1,152.3,14.8,14.7,90.4,87.2,3.2
５人以上,20.3,169,155,14,13.9,83.9,80.8,3.1
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年６月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
