産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
調査産業計,634774,4.1,85.2,86.4,1.27,-0.01
鉱業，採石業，砂利採取業,×,－,×,×,×,－
建設業,977479,26.1,83.7,90.5,1.99,0.37
製造業,793210,-15.1,91.4,91.1,1.23,-0.37
電気・ガス・熱供給・水道業,×,×,×,×,×,×
情報通信業,705283,9.1,84.1,91.4,1.36,-0.01
運輸業，郵便業,568772,6.7,92.9,96.3,1.01,-0.12
卸売業，小売業,770194,21.9,92.1,92.4,1.38,0.07
"金融業,保険業",857408,-17.3,89.3,86.2,2.21,-0.09
不動産業，物品賃貸業,698338,5.3,89.5,95.3,1.76,0.08
学術研究，専門・技術サービス業,781108,2.9,79.7,79.6,1.66,0.1
宿泊業，飲食サービス業,112327,8.9,84.9,81.3,0.36,-0.02
生活関連サービス業，娯楽業,311754,37,77.1,86.2,1.04,0.17
教育，学習支援業,540726,-0.2,91.4,95.3,1.48,0.04
医療，福祉,379970,-1.3,70.1,62,0.93,-0.2
複合サービス事業,663984,6.5,100,100,1.79,-0.09
サービス業（他に分類されないもの）,356631,18.2,80.2,78.9,1.1,-0.07
,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年夏季,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,
