産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.94,2.44,1.62,2.26
"鉱業,採石業,砂利採取業",3.17,2.51,3.17,2.51
建設業,0.88,1.43,0.63,1.17
製造業,0.98,1.02,1.07,1.03
電気・ガス・熱供給・水道業,0.29,0.1,0.29,0.1
情報通信業,1.18,1.3,1.17,1.31
"運輸業,郵便業",1.96,1.45,1.96,1.39
"卸売業,小売業",1.66,2.03,1.12,1.51
"金融業,保険業",0.88,1.65,0.75,1.44
"不動産業,物品賃貸業",1.09,0.96,1.14,0.98
"学術研究,専門・技術サービス業",0.83,1.41,0.84,1.38
"宿泊業,飲食サービス業",5.03,5.85,4.04,5.75
"生活関連サービス業,娯楽業",2.98,5.54,3.32,7.73
"教育,学習支援業",1.18,4.69,0.6,5.02
"医療,福祉",1.82,2.14,1.55,2.3
複合サービス事業,0.51,2.32,0.6,2.87
サービス業（他に分類されないもの）,3.08,2.96,3.33,3.26
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年３月分,,,,
第４表  規模、産業別労働異動率,,,,
