規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,19.1,159.2,145.6,13.6,13.3,80.6,77.5,3.1
５人以上,"鉱業,採石業,砂利採取業",17.4,143.7,126.1,17.6,－,－,－,－
５人以上,建設業,20.7,176.4,155.3,21.1,12.6,79.2,78.3,0.9
５人以上,製造業,19.2,163.9,149.4,14.5,15.7,105.9,102.3,3.6
５人以上,電気・ガス・熱供給・水道業,17.7,146.7,132.4,14.3,15.3,106.2,104.7,1.5
５人以上,情報通信業,18.7,156.8,142.5,14.3,11.7,75.8,74.3,1.5
５人以上,"運輸業,郵便業",19.6,166.2,146.5,19.7,15.4,107.6,97.6,10
５人以上,"卸売業,小売業",19.3,159.7,149.1,10.6,14.3,86.7,83.2,3.5
５人以上,"金融業,保険業",18.2,149.3,133.6,15.7,14.8,96.3,94.7,1.6
５人以上,"不動産業,物品賃貸業",19.1,160.3,145.5,14.8,13.5,78,76.1,1.9
５人以上,"学術研究,専門・技術サービス業",18.5,155,139.9,15.1,11.9,76.2,74.7,1.5
５人以上,"宿泊業,飲食サービス業",21.1,188.4,166.5,21.9,12.5,73.9,70.7,3.2
５人以上,"生活関連サービス業,娯楽業",19.6,162.6,149.8,12.8,12.9,78.6,77.1,1.5
５人以上,"教育,学習支援業",18.2,141.8,132,9.8,8.8,46.1,45.3,0.8
５人以上,"医療,福祉",18.9,153.3,145.4,7.9,12.3,68.5,67.2,1.3
５人以上,複合サービス事業,18.9,158.2,141.6,16.6,17.8,118.7,102.5,16.2
５人以上,サービス業（他に分類されないもの）,19,157.2,145.3,11.9,15.8,103.2,98.4,4.8
30人以上,調査産業計,18.9,157.6,143.1,14.5,14,87.5,83.8,3.7
30人以上,"鉱業,採石業,砂利採取業",17.4,143.7,126.1,17.6,－,－,－,－
30人以上,建設業,20.7,178.8,153.3,25.5,10.9,67,65.7,1.3
30人以上,製造業,18.9,162.1,146.5,15.6,15.8,110,105.2,4.8
30人以上,電気・ガス・熱供給・水道業,17.3,144.6,129.2,15.4,14,91.8,90.8,1
30人以上,情報通信業,18.7,157.2,142.2,15,12.4,80.1,77.9,2.2
30人以上,"運輸業,郵便業",19.5,166.5,146.5,20,15,107.7,96.8,10.9
30人以上,"卸売業,小売業",18.8,155.2,144.3,10.9,15.8,97.5,93.8,3.7
30人以上,"金融業,保険業",18,148.3,131.6,16.7,14.7,95.1,93.4,1.7
30人以上,"不動産業,物品賃貸業",18.9,159,142.9,16.1,14.7,75.5,74.7,0.8
30人以上,"学術研究,専門・技術サービス業",18.6,157,140,17,11,73.7,71.7,2
30人以上,"宿泊業,飲食サービス業",20.1,177.4,158.4,19,13.3,77.9,74.7,3.2
30人以上,"生活関連サービス業,娯楽業",19.2,158.4,143.8,14.6,12.4,77.4,74.9,2.5
30人以上,"教育,学習支援業",18.2,139.8,130.8,9,8,45,44.4,0.6
30人以上,"医療,福祉",18.8,153.4,144.9,8.5,13,76.3,74.5,1.8
30人以上,複合サービス事業,19.6,163.8,144.1,19.7,18.4,119.7,94.2,25.5
30人以上,サービス業（他に分類されないもの）,18.8,157.2,144.4,12.8,16.1,105.5,100.3,5.2
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１２月分,,,,,,,,,
第６表  規模、産業、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
