事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成25,2013,年平均,20.4,168.5,157,11.5,13.5,80.2,77.9,2.3
５～29人,平成26,2014,年平均,20.3,168,156.2,11.8,13.2,79.2,76.7,2.5
５～29人,平成27,2015,年平均,20.3,169,157.1,11.9,13.2,80.9,78.1,2.8
５～29人,平成28,2016,年平均,20.2,167.9,156.2,11.7,13.1,79.4,76.7,2.7
５～29人,平成29,2017,年平均,20.2,168.4,155.8,12.6,12.8,77.9,75.3,2.6
５～29人,平成30,2018,年平均,20.2,166.4,155.1,11.3,12.5,74.2,71.6,2.6
５～29人,平成30,2018,1月,18.5,153.7,142.3,11.4,12.1,72.3,69.7,2.6
５～29人,平成30,2018,2月,19.9,165.3,153.8,11.5,12.3,73.2,70.7,2.5
５～29人,平成30,2018,3月,20.3,168.2,156.1,12.1,12.6,76.8,73.9,2.9
５～29人,平成30,2018,4月,20.8,172.4,159.8,12.6,12.5,75.8,72.9,2.9
５～29人,平成30,2018,5月,19.8,163.3,151.9,11.4,12.5,74.1,71.6,2.5
５～29人,平成30,2018,6月,21.2,174.6,163.3,11.3,13,76.7,73.8,2.9
５～29人,平成30,2018,7月,20.7,170.2,159,11.2,12.7,74.1,71.7,2.4
５～29人,平成30,2018,8月,19.6,161.1,150.9,10.2,12.5,74.5,71.9,2.6
５～29人,平成30,2018,9月,20,164,153.2,10.8,12.5,73.7,71.2,2.5
５～29人,平成30,2018,10月,20.3,166.6,155.8,10.8,12.4,72.2,69.9,2.3
５～29人,平成30,2018,11月,21.1,173.6,162.2,11.4,12.8,74.4,72,2.4
５～29人,平成30,2018,12月,19.9,164.2,153.2,11,12.5,73.2,70.6,2.6
30～99人,平成25,2013,年平均,19.8,168.5,152.6,15.9,15.1,86.7,84,2.7
30～99人,平成26,2014,年平均,19.7,168.2,151.9,16.3,14.9,86.1,83.4,2.7
30～99人,平成27,2015,年平均,19.6,164.7,150.2,14.5,13.9,78.9,76.2,2.7
30～99人,平成28,2016,年平均,19.7,162.8,149.7,13.1,14.1,81.9,79.4,2.5
30～99人,平成29,2017,年平均,19.6,163.4,149.8,13.6,14.1,81.4,79.2,2.2
30～99人,平成30,2018,年平均,19.8,165.9,151.2,14.7,13.7,79,76.8,2.2
30～99人,平成30,2018,1月,18.3,153.1,139.7,13.4,13.4,76.7,74.4,2.3
30～99人,平成30,2018,2月,19.4,163.3,148.6,14.7,13.2,76,74.1,1.9
30～99人,平成30,2018,3月,20,168.8,153,15.8,13.4,78.4,76.3,2.1
30～99人,平成30,2018,4月,20.2,170.8,155,15.8,13.7,78.2,76.2,2
30～99人,平成30,2018,5月,19.6,163.2,149,14.2,13.8,79.5,77.4,2.1
30～99人,平成30,2018,6月,20.8,173.7,158.4,15.3,14.2,81.4,79.3,2.1
30～99人,平成30,2018,7月,20.4,169.9,155.6,14.3,13.9,80.4,78.3,2.1
30～99人,平成30,2018,8月,19.6,162.4,149.4,13,13.8,80.3,77.9,2.4
30～99人,平成30,2018,9月,19,159.6,145.1,14.5,13.5,78.7,76.3,2.4
30～99人,平成30,2018,10月,20.2,169.8,154.6,15.2,13.9,80.5,78.1,2.4
30～99人,平成30,2018,11月,20.8,174.7,158.6,16.1,13.9,80.1,77.7,2.4
30～99人,平成30,2018,12月,19.2,162.1,147.4,14.7,13.5,78.8,76.1,2.7
100～499人,平成25,2013,年平均,19.4,163.2,147,16.2,14.5,90.9,86.7,4.2
100～499人,平成26,2014,年平均,19.2,162.3,145.8,16.5,14.4,90.6,86.4,4.2
100～499人,平成27,2015,年平均,19.2,162.7,146.4,16.3,14.9,90.8,87.7,3.1
100～499人,平成28,2016,年平均,19.2,162,146.2,15.8,14.9,90.3,87.2,3.1
100～499人,平成29,2017,年平均,19.3,162.2,147.1,15.1,14.7,89.7,86.7,3
100～499人,平成30,2018,年平均,19.1,159.8,145.5,14.3,14.4,89.1,85.6,3.5
100～499人,平成30,2018,1月,17.9,150.2,136.6,13.6,13.9,84.6,81.6,3
100～499人,平成30,2018,2月,18.3,153.6,139.4,14.2,13.9,84.1,80.9,3.2
100～499人,平成30,2018,3月,19.1,161,145.7,15.3,14.2,87.4,84,3.4
100～499人,平成30,2018,4月,19.4,162.1,147.3,14.8,14.5,89.5,86,3.5
100～499人,平成30,2018,5月,19.1,159.4,144.8,14.6,14.5,90.3,86.9,3.4
100～499人,平成30,2018,6月,19.8,165.6,151.1,14.5,15.1,93.1,89.7,3.4
100～499人,平成30,2018,7月,19.7,164.2,150.2,14,15,92.7,88.9,3.8
100～499人,平成30,2018,8月,19.3,160.2,147,13.2,14.5,90.5,87,3.5
100～499人,平成30,2018,9月,18.4,153.5,140.3,13.2,14.1,87.2,83.8,3.4
100～499人,平成30,2018,10月,19.6,162.9,148.3,14.6,14.5,90.4,86.7,3.7
