規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.1,19.6,18.4,155.9,163,144.7,142.7,148,134.5,13.2,15,10.2
100～499人,19,19.5,18.2,152.4,161.2,138.3,140.1,146.6,129.7,12.3,14.6,8.6
100人以上,19,19.5,18.3,154.1,162.1,141.5,141.4,147.3,132.1,12.7,14.8,9.4
30～99人,18.5,19.6,17.2,144.2,160.4,123.5,133.4,146.2,117.1,10.8,14.2,6.4
５～29人,17.4,18.7,16,130.9,147.8,112.2,123.3,137.5,107.6,7.6,10.3,4.6
30人以上,18.9,19.5,17.9,151,161.6,135.3,138.9,147,126.9,12.1,14.6,8.4
５人以上,18.4,19.3,17.2,144.8,157.7,127.4,134.1,144.3,120.3,10.7,13.4,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
