事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,TL 調査産業計,平成25,2013,年平均,19.7,164.7,149.9,14.8,14.1,84.9,81.9,3
５人以上,TL 調査産業計,平成26,2014,年平均,19.6,164.3,149.2,15.1,13.9,83.7,80.7,3
５人以上,TL 調査産業計,平成27,2015,年平均,19.5,164,149.1,14.9,13.7,83,80,3
５人以上,TL 調査産業計,平成28,2016,年平均,19.5,163,148.8,14.2,13.7,82.7,79.9,2.8
５人以上,TL 調査産業計,平成29,2017,年平均,19.5,163.4,149.2,14.2,13.5,81.5,78.9,2.6
５人以上,TL 調査産業計,平成30,2018,年平均,19.5,162.5,148.8,13.7,13.4,81.2,78.3,2.9
５人以上,TL 調査産業計,平成30,2018,1月,18.1,151.8,138.7,13.1,12.9,77.6,74.8,2.8
５人以上,TL 調査産業計,平成30,2018,2月,18.8,157.6,143.9,13.7,13,78.1,75.4,2.7
５人以上,TL 調査産業計,平成30,2018,3月,19.6,164.1,149.5,14.6,13.3,81.6,78.6,3
５人以上,TL 調査産業計,平成30,2018,4月,19.9,166.6,152,14.6,13.4,82.3,79.2,3.1
５人以上,TL 調査産業計,平成30,2018,5月,19.4,161.8,147.9,13.9,13.5,81.8,78.9,2.9
５人以上,TL 調査産業計,平成30,2018,6月,20.3,169,155,14,13.9,83.9,80.8,3.1
５人以上,TL 調査産業計,平成30,2018,7月,20.1,166.9,153.4,13.5,13.7,82.8,79.9,2.9
５人以上,TL 調査産業計,平成30,2018,8月,19.5,161.8,149.1,12.7,13.4,82.3,79.3,3
５人以上,TL 調査産業計,平成30,2018,9月,18.8,156.1,143.2,12.9,13.2,80.5,77.6,2.9
５人以上,TL 調査産業計,平成30,2018,10月,19.8,164.7,150.9,13.8,13.5,81.5,78.6,2.9
５人以上,TL 調査産業計,平成30,2018,11月,20.5,170.3,155.9,14.4,13.6,81.9,79,2.9
５人以上,TL 調査産業計,平成30,2018,12月,19.1,159.2,145.6,13.6,13.3,80.6,77.5,3.1
５人以上,"C 鉱業,採石業,砂利採取業",平成25,2013,年平均,19.2,157.1,139.9,17.2,16.6,115.4,109.7,5.7
５人以上,"C 鉱業,採石業,砂利採取業",平成26,2014,年平均,19.1,157.9,139,18.9,16.2,115.6,108.2,7.4
５人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,18.8,154.8,135.1,19.7,12.1,82.9,82.5,0.4
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,1月,17.3,144.4,125.5,18.9,10.7,68.7,67.7,1
