規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,519091,465055,427432,37623,54036,154082,151335,141219,10116,2747
100～499人,532489,411361,382486,28875,121128,123491,122022,116708,5314,1469
100人以上,525618,438897,405536,33361,86721,137225,135182,127712,7470,2043
30～99人,459429,377604,351691,25913,81825,110084,104975,101857,3118,5109
５～29人,385296,362224,343236,18988,23072,95993,94962,91807,3155,1031
30人以上,506570,421258,390040,31218,85312,124662,121200,115744,5456,3462
５人以上,476881,406806,378582,28224,70075,110973,108672,104315,4357,2301
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年３月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
