事業所規模,産業,和暦年,西暦年,年平均・月,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
５人以上,TL 調査産業計,平成25,2013,年平均,410458,503854,269632,330137,400333,224292,306389,23748,80321,103521,45340
５人以上,TL 調査産業計,平成26,2014,年平均,412977,508464,272426,329759,400917,225018,305545,24214,83218,107547,47408
５人以上,TL 調査産業計,平成27,2015,年平均,406806,497268,273714,326216,393912,226620,303724,22492,80590,103356,47094
５人以上,TL 調査産業計,平成28,2016,年平均,408611,501351,274902,326130,395143,226630,304022,22108,82481,106208,48272
５人以上,TL 調査産業計,平成29,2017,年平均,411953,504879,279725,327748,396619,229749,305943,21805,84205,108260,49976
５人以上,TL 調査産業計,平成30,2018,年平均,413275,508281,284286,327195,396642,232907,305852,21343,86080,111639,51379
５人以上,TL 調査産業計,平成30,2018,1月,342164,417396,239839,319934,388758,226326,299268,20666,22230,28638,13513
５人以上,TL 調査産業計,平成30,2018,2月,337735,409775,239512,320640,389264,227074,300192,20448,17095,20511,12438
５人以上,TL 調査産業計,平成30,2018,3月,378561,459698,267696,326697,396446,231392,304886,21811,51864,63252,36304
５人以上,TL 調査産業計,平成30,2018,4月,351539,427050,248851,330372,399949,235752,307670,22702,21167,27101,13099
５人以上,TL 調査産業計,平成30,2018,5月,364465,446860,250819,326766,393999,234032,305202,21564,37699,52861,16787
５人以上,TL 調査産業計,平成30,2018,6月,615952,772770,402616,327880,396430,234624,306131,21749,288072,376340,167992
５人以上,TL 調査産業計,平成30,2018,7月,459258,572583,306163,328072,397323,234519,306365,21707,131186,175260,71644
５人以上,TL 調査産業計,平成30,2018,8月,339150,411780,240115,327138,395836,233465,306638,20500,12012,15944,6650
５人以上,TL 調査産業計,平成30,2018,9月,342109,415605,242387,328519,398360,233757,308825,19694,13590,17245,8630
５人以上,TL 調査産業計,平成30,2018,10月,346841,422037,245825,329820,400070,235448,308708,21112,17021,21967,10377
５人以上,TL 調査産業計,平成30,2018,11月,372346,450941,266062,331374,402125,235698,308698,22676,40972,48816,30364
５人以上,TL 調査産業計,平成30,2018,12月,707179,893200,458582,329080,401206,232691,307584,21496,378099,491994,225891
５人以上,"C 鉱業,採石業,砂利採取業",平成25,2013,年平均,722319,777690,499823,504386,542137,352692,476157,28229,217933,235553,147131
５人以上,"C 鉱業,採石業,砂利採取業",平成26,2014,年平均,728865,794186,486760,509908,551163,357000,479598,30310,218957,243023,129760
５人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,727494,801759,515086,546027,598271,396602,518096,27931,181467,203488,118484
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,1月,521273,576690,370344,519623,574600,369892,496662,22961,1650,2090,452
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,2月,522881,575173,381107,519113,572157,375301,492389,26724,3768,3016,5806
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,3月,560523,615137,412955,536397,592243,385499,509363,27034,24126,22894,27456
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,4月,543598,597167,397810,539120,592591,393596,506982,32138,4478,4576,4214
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,5月,525973,577635,383264,522908,573995,381790,491879,31029,3065,3640,1474
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,6月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,7月,857228,914612,662104,581282,631015,412176,554749,26533,275946,283597,249928
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,8月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,9月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,10月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,11月,587397,639021,417282,586899,638544,416713,552192,34707,498,477,569
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,12月,1646715,1784364,1189262,582294,630719,421363,553297,28997,1064421,1153645,767899
５人以上,D 建設業,平成25,2013,年平均,488167,517913,317596,409552,434896,264222,377702,31850,78615,83017,53374
５人以上,D 建設業,平成26,2014,年平均,501012,532976,317793,410086,436104,260950,379520,30566,90926,96872,56843
５人以上,D 建設業,平成27,2015,年平均,481224,511016,315443,390656,414511,257910,357648,33008,90568,96505,57533
５人以上,D 建設業,平成28,2016,年平均,488863,518735,323683,394649,418225,264284,359904,34745,94214,100510,59399
５人以上,D 建設業,平成29,2017,年平均,501419,536570,327484,396588,424321,259362,357035,39553,104831,112249,68122
５人以上,D 建設業,平成30,2018,年平均,512704,549362,349100,391144,420164,261627,349934,41210,121560,129198,87473
５人以上,D 建設業,平成30,2018,1月,406375,432339,279094,368091,391750,252109,331157,36934,38284,40589,26985
５人以上,D 建設業,平成30,2018,2月,384126,409310,261911,380301,405257,259194,340172,40129,3825,4053,2717
５人以上,D 建設業,平成30,2018,3月,437991,469300,291382,378000,405043,251371,337120,40880,59991,64257,40011
５人以上,D 建設業,平成30,2018,4月,405029,431997,284310,394747,422937,268558,350782,43965,10282,9060,15752
５人以上,D 建設業,平成30,2018,5月,415238,446257,279768,396405,426608,264499,356172,40233,18833,19649,15269
５人以上,D 建設業,平成30,2018,6月,693598,749140,460070,392534,424223,259297,352063,40471,301064,324917,200773
５人以上,D 建設業,平成30,2018,7月,775185,836334,503210,391021,419449,264579,351346,39675,384164,416885,238631
５人以上,D 建設業,平成30,2018,8月,409657,437890,280565,392000,419813,264825,355054,36946,17657,18077,15740
５人以上,D 建設業,平成30,2018,9月,404687,434849,273364,395401,425590,263959,353129,42272,9286,9259,9405
５人以上,D 建設業,平成30,2018,10月,405335,436107,271339,397960,428465,265128,354204,43756,7375,7642,6211
５人以上,D 建設業,平成30,2018,11月,448648,485798,293320,407494,441960,263386,358951,48543,41154,43838,29934
