規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.9,148.6,135.3,13.3,14.3,100.6,96,4.6
100～499人,18.4,153.5,140.3,13.2,14.1,87.2,83.8,3.4
100人以上,18.1,151.1,137.8,13.3,14.2,93.5,89.5,4
30～99人,19,159.6,145.1,14.5,13.5,78.7,76.3,2.4
５～29人,20,164,153.2,10.8,12.5,73.7,71.2,2.5
30人以上,18.4,153.5,139.9,13.6,13.9,86.7,83.5,3.2
５人以上,18.8,156.1,143.2,12.9,13.2,80.5,77.6,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年９月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
