産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.79,1.69,1.48,1.47
"鉱業,採石業,砂利採取業",2.76,3.27,2.76,3.27
建設業,0.56,0.71,0.58,0.76
製造業,0.95,0.95,0.88,0.83
電気・ガス・熱供給・水道業,0.17,0.8,0.19,0.42
情報通信業,0.95,1.59,1,1.63
"運輸業,郵便業",1.32,1.44,1.17,1.19
"卸売業,小売業",1.43,1.57,1.01,1.15
"金融業,保険業",1.07,0.99,0.9,0.87
"不動産業,物品賃貸業",1.37,1.23,1.14,1.01
"学術研究,専門・技術サービス業",1.12,0.96,1.06,0.8
"宿泊業,飲食サービス業",5.04,3.94,3.91,3.54
"生活関連サービス業,娯楽業",2.07,2.42,2.12,1.95
"教育,学習支援業",2.01,0.89,2.04,0.85
"医療,福祉",2.05,1.66,1.75,1.73
複合サービス事業,0.83,0.39,0.34,0.43
サービス業（他に分類されないもの）,2.4,2.24,2.54,2.42
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１１月分,,,,
第４表  規模、産業別労働異動率,,,,
