規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.8,164.6,150,14.6,15.3,106.5,101.5,5
100～499人,19.7,164.2,150.2,14,15,92.7,88.9,3.8
100人以上,19.8,164.4,150.1,14.3,15.1,99.3,94.9,4.4
30～99人,20.4,169.9,155.6,14.3,13.9,80.4,78.3,2.1
５～29人,20.7,170.2,159,11.2,12.7,74.1,71.7,2.4
30人以上,19.9,166,151.7,14.3,14.6,90.5,87.2,3.3
５人以上,20.1,166.9,153.4,13.5,13.7,82.8,79.9,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年７月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
