規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.7,19.1,18.1,152.5,159,142.3,139.2,143.7,132.2,13.3,15.3,10.1
100～499人,18.7,19.3,17.9,150.4,159.3,136.4,137.7,144.1,127.7,12.7,15.2,8.7
100人以上,18.7,19.2,18,151.5,159.2,139.4,138.5,143.9,130,13,15.3,9.4
30～99人,18.4,19.4,17,143.9,160.1,123.2,132.4,145.2,116.1,11.5,14.9,7.1
５～29人,17.1,18.3,15.7,128.3,145.2,109.7,120.9,135.1,105.3,7.4,10.1,4.4
30人以上,18.6,19.3,17.7,149,159.5,133.8,136.5,144.3,125.2,12.5,15.2,8.6
５人以上,18.1,19,17,142.7,155.4,125.6,131.8,141.7,118.4,10.9,13.7,7.2
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
