規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,433422,511254,307850,413506,484675,298683,381813,31693,19916,26579,9167
100～499人,362922,423978,263410,352986,412718,255631,329756,23230,9936,11260,7779
100人以上,398376,467783,285828,383421,448834,277349,355935,27486,14955,18949,8479
30～99人,305045,367132,227378,291925,356028,211737,274099,17826,13120,11104,15641
５～29人,268915,338785,190547,245633,308233,175419,234031,11602,23282,30552,15128
30人以上,368156,437506,264901,353795,420917,253858,329437,24358,14361,16589,11043
５人以上,337735,409775,239512,320640,389264,227074,300192,20448,17095,20511,12438
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
