規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,478358,465835,429166,36669,12523,164515,164082,154476,9606,433
100～499人,421135,408586,381237,27349,12549,127154,126512,121447,5065,642
100人以上,450008,437472,405420,32052,12536,145040,144498,137259,7239,542
30～99人,396358,376382,353365,23017,19976,102297,101806,98816,2990,491
５～29人,376358,356234,339659,16575,20124,94810,93712,90760,2952,1098
30人以上,434628,419959,390497,29462,14669,125290,124771,119495,5276,519
５人以上,420364,404360,378053,26307,16004,110927,110135,105954,4181,792
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年８月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
