産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.68,1.92,1.38,1.68
"鉱業,採石業,砂利採取業",×,×,×,×
建設業,0.46,0.77,0.36,0.6
製造業,0.97,0.67,0.91,0.68
電気・ガス・熱供給・水道業,×,×,×,×
情報通信業,1.2,1.37,1.1,1.17
"運輸業,郵便業",1.17,1.61,1.07,1.57
"卸売業,小売業",1.28,1.42,0.83,1.22
"金融業,保険業",1,1.29,0.93,1.2
"不動産業,物品賃貸業",1.5,1.38,0.89,1
"学術研究,専門・技術サービス業",0.87,1.15,0.87,1.08
"宿泊業,飲食サービス業",4.86,4.86,4.84,3.85
"生活関連サービス業,娯楽業",2.95,2.32,1.74,2.18
"教育,学習支援業",1.36,3.66,1.29,4.18
"医療,福祉",1.07,1.64,0.82,1.33
複合サービス事業,1.31,1.26,0.59,0.31
サービス業（他に分類されないもの）,2.6,2.51,2.81,2.67
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年８月分,,,,
第４表  規模、産業別労働異動率,,,,
