産業,５人以上／入職率(％),５人以上／離職率(％),30人以上／入職率(％),30人以上／離職率(％)
調査産業計,1.48,1.7,1.3,1.46
"鉱業,採石業,砂利採取業",1.06,2.96,1.06,2.96
建設業,0.41,1.24,0.37,1.46
製造業,0.86,1.02,0.98,1.11
電気・ガス・熱供給・水道業,0.68,0.35,0.68,0.35
情報通信業,0.85,1.18,0.76,1.14
"運輸業,郵便業",1.51,1.33,1.34,1.33
"卸売業,小売業",1.42,1.6,1.03,1.24
"金融業,保険業",1.77,1.34,1.72,1.16
"不動産業,物品賃貸業",0.96,1.05,1.16,0.93
"学術研究,専門・技術サービス業",1.24,1.21,1.24,1.09
"宿泊業,飲食サービス業",2.68,3.55,1.96,3.11
"生活関連サービス業,娯楽業",1.73,3.31,1.46,2.37
"教育,学習支援業",0.85,0.89,0.44,0.54
"医療,福祉",1.88,2.05,1.86,2.02
複合サービス事業,1.71,2.76,2.67,4.43
サービス業（他に分類されないもの）,1.98,1.87,2.23,2.04
,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１月分（確報）,,,,
第４表  規模、産業別労働異動率,,,,
