規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.2,19.8,18.3,157.1,165.2,144.4,143.3,149.3,133.8,13.8,15.9,10.6
100～499人,19.2,19.8,18.2,154.8,164.9,138.3,141.7,149.1,129.7,13.1,15.8,8.6
100人以上,19.2,19.8,18.3,155.9,165,141.4,142.5,149.2,131.8,13.4,15.8,9.6
30～99人,18.8,19.8,17.5,147.7,163.7,127,135.5,147.8,119.6,12.2,15.9,7.4
５～29人,17.7,19,16.3,133.1,150.7,114,125.4,140.1,109.4,7.7,10.6,4.6
30人以上,19.1,19.8,18,153.3,164.7,136.5,140.3,148.8,127.6,13,15.9,8.9
５人以上,18.7,19.6,17.4,147.1,160.8,128.7,135.7,146.4,121.3,11.4,14.4,7.4
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成３０年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
