事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,TL 調査産業計,平成25,2013,年平均,502886,398953,369244,29709,103933,106117,103544,99424,4120,2573
５人以上,TL 調査産業計,平成26,2014,年平均,508626,400365,369921,30444,108261,105028,102438,98284,4154,2590
５人以上,TL 調査産業計,平成27,2015,年平均,503844,398030,369518,28512,105814,106863,104242,100358,3884,2621
５人以上,TL 調査産業計,平成28,2016,年平均,507506,398842,370696,28146,108664,107305,104595,100884,3711,2710
５人以上,TL 調査産業計,平成29,2017,年平均,512403,401177,373347,27830,111226,108174,105686,102103,3583,2488
５人以上,TL 調査産業計,平成30,2018,年平均,521638,405574,378100,27474,116064,111177,108686,104435,4251,2491
５人以上,TL 調査産業計,平成30,2018,1月,429169,399056,372285,26771,30113,103596,102982,99058,3924,614
５人以上,TL 調査産業計,平成30,2018,2月,423697,400569,373960,26609,23128,104312,103596,99878,3718,716
５人以上,TL 調査産業計,平成30,2018,3月,476881,406806,378582,28224,70075,110973,108672,104315,4357,2301
５人以上,TL 調査産業計,平成30,2018,4月,438731,410388,380946,29442,28343,111307,109909,105775,4134,1398
５人以上,TL 調査産業計,平成30,2018,5月,453353,402784,375153,27631,50569,111046,110039,105773,4266,1007
５人以上,TL 調査産業計,平成30,2018,6月,788679,403149,375365,27784,385530,117975,110877,106526,4351,7098
５人以上,TL 調査産業計,平成30,2018,7月,581936,405477,378014,27463,176459,115130,110941,105380,5561,4189
５人以上,TL 調査産業計,平成30,2018,8月,420364,404360,378053,26307,16004,110927,110135,105954,4181,792
５人以上,TL 調査産業計,平成30,2018,9月,424944,406883,381608,25275,18061,109905,108847,104798,4049,1058
５人以上,TL 調査産業計,平成30,2018,10月,431858,409011,381886,27125,22847,110257,109449,105069,4380,808
５人以上,TL 調査産業計,平成30,2018,11月,464826,409921,380609,29312,54905,111905,110172,106184,3988,1733
５人以上,TL 調査産業計,平成30,2018,12月,919951,408502,380739,27763,511449,117078,108811,104698,4113,8267
５人以上,"C 鉱業,採石業,砂利採取業",平成25,2013,年平均,733994,511431,482776,28655,222563,191619,184134,175263,8871,7485
５人以上,"C 鉱業,採石業,砂利採取業",平成26,2014,年平均,743424,518729,487917,30812,224695,197396,187894,175902,11992,9502
５人以上,"C 鉱業,採石業,砂利採取業",平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成29,2017,年平均,－,－,－,－,－,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,年平均,728116,546464,518505,27959,181652,117294,117294,117294,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,1月,522163,520509,497499,23010,1654,105000,105000,105000,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,2月,523817,520041,493259,26782,3776,95000,95000,95000,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,3月,561520,537340,510246,27094,24180,109667,109667,109667,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,4月,544548,540060,507852,32208,4488,104667,104667,104667,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,5月,526869,523798,492703,31095,3071,103667,103667,103667,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,6月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,7月,857377,581333,554791,26542,276044,440000,440000,440000,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,8月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,9月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,10月,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,11月,587397,586899,552192,34707,498,－,－,－,－,－
５人以上,"C 鉱業,採石業,砂利採取業",平成30,2018,12月,1646715,582294,553297,28997,1064421,－,－,－,－,－
５人以上,D 建設業,平成25,2013,年平均,499013,417949,385127,32822,81064,150938,148478,146878,1600,2460
５人以上,D 建設業,平成26,2014,年平均,516595,421858,390012,31846,94737,142285,139081,137966,1115,3204
５人以上,D 建設業,平成27,2015,年平均,489819,397113,363353,33760,92706,141679,135575,132270,3305,6104
５人以上,D 建設業,平成28,2016,年平均,497072,400702,365233,35469,96370,149443,144376,139593,4783,5067
５人以上,D 建設業,平成29,2017,年平均,512977,405048,364353,40695,107929,123286,119829,117618,2211,3457
５人以上,D 建設業,平成30,2018,年平均,530091,403408,360426,42982,126683,123145,116365,114863,1502,6780
５人以上,D 建設業,平成30,2018,1月,421136,381026,342335,38691,40110,105547,104472,103337,1135,1075
５人以上,D 建設業,平成30,2018,2月,398155,394162,352036,42126,3993,110355,109807,108663,1144,548
５人以上,D 建設業,平成30,2018,3月,454840,391990,349102,42888,62850,103276,100083,99081,1002,3193
５人以上,D 建設業,平成30,2018,4月,419002,408335,362327,46008,10667,113007,110772,109522,1250,2235
５人以上,D 建設業,平成30,2018,5月,426528,407009,365316,41693,19519,121270,120298,118075,2223,972
５人以上,D 建設業,平成30,2018,6月,716471,403696,361617,42079,312775,143630,124153,122328,1825,19477
５人以上,D 建設業,平成30,2018,7月,800301,401722,360561,41161,398579,144187,122178,119847,2331,22009
５人以上,D 建設業,平成30,2018,8月,421235,402966,364575,38391,18269,126870,124148,122486,1662,2722
５人以上,D 建設業,平成30,2018,9月,416854,407322,363335,43987,9532,114794,111367,109958,1409,3427
５人以上,D 建設業,平成30,2018,10月,417906,410280,364649,45631,7626,122285,120566,119032,1534,1719
５人以上,D 建設業,平成30,2018,11月,463052,420074,369403,50671,42978,129997,129184,127717,1467,813
５人以上,D 建設業,平成30,2018,12月,999513,411690,369303,42387,587823,151329,125101,123690,1411,26228
５人以上,E 製造業,平成25,2013,年平均,534742,417396,390031,27365,117346,145209,137853,126719,11134,7356
５人以上,E 製造業,平成26,2014,年平均,552574,424505,397913,26592,128069,146631,138446,127065,11381,8185
５人以上,E 製造業,平成27,2015,年平均,551148,415269,387020,28249,135879,124380,118503,113926,4577,5877
５人以上,E 製造業,平成28,2016,年平均,550827,417295,389539,27756,133532,126265,119573,114865,4708,6692
５人以上,E 製造業,平成29,2017,年平均,556133,417977,390707,27270,138156,129930,124293,119909,4384,5637
