区分,令和元年度決算額（億円）,令和元年度補正後予算額（億円）,平成30年度決算額（億円）,差引増減額等対元年度補正後（億円）,差引増減額等増減率（％）,差引増減額等対30年度決算（億円）,差引増減額等増減率（％）
個人都民税,9589,9552,9298,36,0.4,291,3.1
法人都民税,9726,9672,9540,53,0.6,186,1.9
都民税利子割,70,73,96,[sanitize]3,[sanitize]3.8,[sanitize]26,[sanitize]27.2
個人事業税,537,539,528,[sanitize]2,[sanitize]0.3,9,1.6
法人事業税,12075,12047,10907,28,0.2,1169,10.7
繰入地方消費税,5286,5265,5523,21,0.4,[sanitize]237,[sanitize]4.3
不動産取得税,824,816,838,9,1.1,[sanitize]13,[sanitize]1.6
都たばこ税,162,159,162,3,1.9,0,[sanitize]0.1
ゴルフ場利用税,6,6,6,0,[sanitize]0.2,0,[sanitize]0.3
自動車取得税,93,93,181,0,0,[sanitize]89,[sanitize]48.9
軽油引取税,393,393,401,0,0,[sanitize]9,[sanitize]2.1
自動車税,1025,1026,1049,0,0,[sanitize]24,[sanitize]2.3
環境性能割,48,49,[sanitize],[sanitize]1,[sanitize]1.9,48,皆増
種別割,9,9,[sanitize],0,[sanitize]1.4,9,皆増
鉱区税,0,0,0,0,[sanitize]0.1,[sanitize],0
固定資産税,12852,12863,12427,[sanitize]11,[sanitize]0.1,425,3.4
特別土地保有税,[sanitize],0,[sanitize],0,皆減,[sanitize],[sanitize]
狩猟税,0,0,0,0,[sanitize]0.8,0,[sanitize]0.8
事業所税,1109,1104,1075,5,0.5,34,3.2
都市計画税,2487,2489,2405,[sanitize]2,[sanitize]0.1,82,3.4
宿泊税,27,28,27,[sanitize]1,[sanitize]4.9,0,1.5
旧法による税,[sanitize],0,[sanitize],0,皆減,[sanitize],[sanitize]
計,56318,56183,54464,135,0.2,1854,3.4
法人二税,21801,21719,20447,81,0.4,1354,6.6
固定・都市計,15339,15353,14833,[sanitize]13,[sanitize]0.1,507,3.4
