男女・年,西暦(年),専門的・技術的職業従事者（千人）,事務従事者（千人）,販売従事者（千人）,サービス職業従事者（千人）,生産工程従事者（千人）,運搬・清掃・包装等従事者（千人）,その他（左記以外のもの）（千人）
実数／男女計／平成27年平均,2015,1617,1868,1085,901,536,425,967
実数／男女計／平成28年平均,2016,1654,1979,1123,898,509,424,931
実数／男女計／平成29年平均,2017,1735,1997,1168,901,497,434,951
実数／男／平成27年平均,2015,984,760,663,350,379,253,841
実数／男／平成28年平均,2016,997,837,681,357,354,257,804
実数／男／平成29年平均,2017,1046,819,691,357,340,260,820
実数／女／平成27年平均,2015,633,1108,422,551,157,171,126
実数／女／平成28年平均,2016,657,1142,442,541,155,167,125
実数／女／平成29年平均,2017,689,1178,477,544,158,173,131
対前年増減数／男女計／平成28年平均,2016,37,111,38,-3,-27,-1,-36
対前年増減数／男女計／平成29年平均,2017,81,18,45,3,-12,10,20
対前年増減数／男／平成28年平均,2016,13,77,18,7,-25,4,-37
対前年増減数／男／平成29年平均,2017,49,-18,10,0,-14,3,16
対前年増減数／女／平成28年平均,2016,24,34,20,-10,-2,-4,-1
対前年増減数／女／平成29年平均,2017,32,36,35,3,3,6,6
,,,,,,,,
東京の労働力統計データ（平成29年平均）,,,,,,,,
第６表　主な職業別就業者数,,,,,,,,
注)日本標準職業分類（平成21年12月改定）に基づく職業別で、結果表章を行っている。その他(左記以外のもの）には、「管理的職業従事者」、「保安職業従事者」、「農林漁業従事者」、「輸送・機械運転従事者」、「建設・採掘従事者」及び「分類不能の職業」が含まれている。,,,,,,,,
