年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成26年平均,2014,,392,690,653,360,1155,254,210,317,416,217,339,672,492
実数／男女計／平成27年平均,2015,,424,675,647,343,1163,256,229,318,460,211,337,688,538
実数／男女計／平成28年平均,2016,,374,696,661,335,1143,306,221,364,475,217,349,714,564
実数／男女計／平成26年10～12月平均,2014,10～12,392,647,660,352,1170,242,222,332,432,194,304,719,531
実数／男女計／平成27年１～３月平均,2015,01～03,384,667,636,335,1145,269,238,312,449,232,333,625,517
実数／男女計／平成27年４～６月平均,2015,04～06,468,652,697,317,1138,232,211,317,480,218,328,746,551
実数／男女計／平成27年７～９月平均,2015,07～09,447,698,647,357,1169,272,226,319,453,179,363,680,557
実数／男女計／平成27年10～12月平均,2015,10～12,396,683,607,365,1206,252,243,324,464,215,324,701,527
実数／男女計／平成28年１～３月平均,2016,01～03,352,670,616,357,1159,275,218,322,484,213,358,667,611
実数／男女計／平成28年４～６月平均,2016,04～06,374,730,686,308,1115,311,193,368,442,226,359,754,521
実数／男女計／平成28年７～９月平均,2016,07～09,395,718,672,330,1091,317,214,387,460,196,333,734,603
実数／男女計／平成28年10～12月平均,2016,10～12,376,668,672,345,1204,319,257,379,513,232,346,702,522
実数／男女計／平成29年１～３月平均,2017,01～03,359,675,650,351,1184,277,237,351,457,211,359,746,611
実数／男／平成26年平均,2014,,318,495,463,293,578,128,130,197,179,92,159,169,285
実数／男／平成27年平均,2015,,351,473,461,276,605,119,133,201,199,93,159,161,307
実数／男／平成28年平均,2016,,312,477,469,264,587,160,134,224,213,95,165,179,317
実数／男／平成26年10～12月平均,2014,10～12,314,463,468,285,568,124,132,195,189,84,146,192,309
実数／男／平成27年１～３月平均,2015,01～03,324,476,446,266,581,127,153,194,201,106,146,159,298
実数／男／平成27年４～６月平均,2015,04～06,390,455,498,258,592,124,113,196,198,93,162,161,319
実数／男／平成27年７～９月平均,2015,07～09,365,483,469,289,638,118,129,205,193,67,176,149,299
実数／男／平成27年10～12月平均,2015,10～12,326,478,430,293,613,107,137,209,208,108,151,173,311
実数／男／平成28年１～３月平均,2016,01～03,297,444,436,276,611,136,140,190,238,92,169,190,352
実数／男／平成28年４～６月平均,2016,04～06,310,529,480,236,578,164,121,209,208,108,171,187,291
実数／男／平成28年７～９月平均,2016,07～09,326,495,491,265,556,157,117,246,187,79,155,166,339
実数／男／平成28年10～12月平均,2016,10～12,313,440,470,279,603,181,159,249,219,100,164,172,285
実数／男／平成29年１～３月平均,2017,01～03,291,464,438,285,596,126,143,219,202,92,172,219,354
実数／女／平成26年平均,2014,,74,196,190,66,576,126,81,119,238,125,180,503,207
